layer_z,score_percent,machine_x_mm,machine_y_mm,raw_image_x_px,raw_image_y_px
tensor(203),71.4914619922638,70.81959928263258,-48.25057793228444,279.296875,308.59375
tensor(203),72.63803482055664,58.78231993337647,-44.80919097415726,460.9375,378.90625
tensor(203),72.78180122375488,48.23299794869832,-39.00850871857091,619.140625,490.234375
tensor(203),71.52804732322693,51.873191385456494,-36.625669501143825,566.40625,531.25
tensor(204),72.05517888069153,70.03728834590423,-48.275590424661004,291.015625,308.59375
tensor(204),71.85975313186646,66.15791158104727,-47.44717572041292,349.609375,326.171875
tensor(204),71.41460180282593,60.71235814922907,-46.02704165558042,431.640625,355.46875
tensor(204),71.49646878242493,57.99307568806862,-44.8337736526719,472.65625,378.90625
tensor(204),70.98245620727539,49.07943591488959,-36.70763242348423,607.421875,531.25
tensor(204),72.82173037528992,54.282414212060445,-35.90375403223774,531.25,542.96875
tensor(204),72.33507037162781,59.5004909309098,-34.448012511780675,455.078125,566.40625
tensor(204),72.22694754600525,57.96529765774869,-32.53069479720763,478.515625,601.5625
tensor(205),72.08117246627808,69.25471261142178,-48.300611383302694,302.734375,308.59375
tensor(205),72.61795401573181,64.60004780688158,-47.17869115386128,373.046875,332.03125
tensor(205),72.87257313728333,54.69858688808237,-35.23963247810487,525.390625,554.6875
tensor(205),70.24074792861938,60.705617438159834,-34.086905318258154,437.5,572.265625
tensor(205),72.2854495048523,58.41406221786714,-30.877799506492625,472.65625,630.859375
tensor(206),72.2557008266449,68.85047792943078,-48.63045160027776,308.59375,302.734375
tensor(206),70.79452276229858,61.86089781074489,-46.94716395239786,414.0625,337.890625
tensor(206),70.23193836212158,56.827337808220285,-44.22940337346224,490.234375,390.625
tensor(206),72.48972058296204,60.255170670394875,-35.72936421899476,443.359375,542.96875
tensor(206),72.40855097770691,55.0974213603503,-35.228043539557724,519.53125,554.6875
tensor(207),71.79999351501465,71.18358139175592,-48.87226159992997,273.4375,296.875
tensor(207),72.13906645774841,67.29711390238118,-48.36320084803781,332.03125,308.59375
tensor(207),71.46390676498413,65.01046178074003,-35.915484521602636,373.046875,537.109375
tensor(208),71.78435921669006,70.01090730048749,-48.9099156586859,291.015625,296.875
tensor(208),70.82868814468384,51.8337580519272,-38.25230047679105,566.40625,501.953125
tensor(208),72.31331467628479,65.80379464478457,-35.89226545879745,361.328125,537.109375
tensor(208),71.47979736328125,55.9131371125327,-34.55174555376631,507.8125,566.40625
tensor(208),70.0967788696289,59.233888914060664,-30.197395166187516,460.9375,642.578125
tensor(209),71.48731350898743,71.17005644650105,-49.18907140286557,273.4375,291.015625
tensor(209),71.47054672241211,68.83763812143846,-48.94758882545353,308.59375,296.875
tensor(209),71.40383124351501,64.36889148080829,-42.7139470925483,378.90625,414.0625
tensor(209),70.48718929290771,71.98736516465269,-39.26747894922677,267.578125,472.65625
tensor(209),72.45199680328369,64.25172531347864,-34.96204680825344,384.765625,554.6875
tensor(209),70.11989951133728,55.9131371125327,-34.55174555376631,507.8125,566.40625
tensor(209),72.37941026687622,60.72678617313004,-33.43318065412089,437.5,583.984375
tensor(209),72.44589328765869,58.41406221786714,-30.877799506492625,472.65625,630.859375
tensor(210),71.80430889129639,71.17005644650105,-49.18907140286557,273.4375,291.015625
tensor(210),70.33547163009644,66.90539527632981,-48.37572509982552,337.890625,308.59375
tensor(210),70.45349478721619,57.10953861741377,-34.5171500346676,490.234375,566.40625
tensor(210),70.96269726753235,57.12875952685866,-19.95890752970197,496.09375,824.21875
tensor(210),71.00366353988647,52.77871106942232,-16.02790256706102,560.546875,894.53125
tensor(211),70.01236081123352,71.53344414963004,-49.809508605413356,267.578125,279.296875
tensor(211),70.38439512252808,68.44641607506087,-48.96015079644837,314.453125,296.875
tensor(211),70.20326852798462,60.027305353526394,-42.8473732861215,443.359375,414.0625
tensor(211),71.62964344024658,62.28682081647965,-34.36744212769284,414.0625,566.40625
tensor(211),71.49075269699097,56.008927472125855,-16.622929251372533,513.671875,882.8125
tensor(212),70.11240720748901,68.82480597217004,-49.26453688374742,308.59375,291.015625
tensor(212),72.30738997459412,66.57221943844988,-36.518888499581095,349.609375,525.390625
tensor(212),70.52034139633179,61.534364647025164,-33.08319962480457,425.78125,589.84375
tensor(212),72.0915138721466,58.09278406635159,-28.25200672609214,478.515625,677.734375
tensor(213),72.33534455299377,68.7152274423514,-42.25979057955115,314.453125,419.921875
tensor(213),71.64142727851868,62.706947377043335,-33.70285743351157,408.203125,578.125
tensor(213),70.33987045288086,60.42280646872131,-30.492792243667296,443.359375,636.71875
tensor(213),70.04998922348022,64.99941898693747,33.276050986698344,408.203125,1708.984375
tensor(214),72.23626375198364,69.31964473554042,-46.71124858821967,302.734375,337.890625
tensor(214),72.09859490394592,65.83744670206973,-45.54714754813343,355.46875,361.328125
tensor(214),71.2734043598175,68.89632613372254,-37.74574610581485,314.453125,501.953125
tensor(214),72.03102707862854,65.82798515914526,-35.24154777174264,361.328125,548.828125
tensor(214),71.83693647384644,61.16808762469998,-32.11201155099252,431.640625,607.421875
tensor(214),72.64332175254822,59.264433716539614,-29.20903140359947,460.9375,660.15625
tensor(215),71.93949222564697,68.83763812143846,-48.94758882545353,308.59375,296.875
tensor(215),70.45338153839111,62.254063189819966,-46.934728384530764,408.203125,337.890625
tensor(215),72.5390076637268,66.98084369516826,-36.1824426883278,343.75,531.25
tensor(215),71.91462516784668,61.56690578430654,-32.10067614141806,425.78125,607.421875
tensor(215),70.69787383079529,57.40659222148078,-24.293721313303347,490.234375,748.046875
tensor(215),70.61054706573486,56.667681702320735,-21.97943484692837,501.953125,789.0625
tensor(215),70.14362812042236,54.80082997501979,-16.31547191020137,531.25,888.671875
tensor(216),70.62026262283325,68.82480597217004,-49.26453688374742,308.59375,291.015625
tensor(216),70.56281566619873,62.24315608666138,-47.25340010130852,408.203125,332.03125
tensor(216),72.46102690696716,50.240140202663184,-38.29961188286664,589.84375,501.953125
tensor(216),72.8333055973053,61.039714401965554,-36.03169933753911,431.640625,537.109375
tensor(217),72.23103642463684,61.09549918139792,-46.3339850014105,425.78125,349.609375
tensor(217),70.46617865562439,67.22696521861508,-40.05515902657025,337.890625,460.9375
tensor(217),71.84084057807922,50.63113449758447,-38.61258950515161,583.984375,496.09375
tensor(217),72.36993312835693,61.09308978480516,-34.401960426555334,431.640625,566.40625
tensor(217),71.90322279930115,55.514199404380705,-34.56328136097256,513.671875,566.40625
tensor(217),70.19591331481934,58.80380776126787,-31.195228264437553,466.796875,625.0
tensor(218),70.18862962722778,66.51361031623823,-48.38825147248309,343.75,308.59375
tensor(218),72.33043313026428,59.54091952304484,-45.74456909810228,449.21875,361.328125
tensor(218),71.64828181266785,54.58515051629402,-39.466670493113384,525.390625,478.515625
tensor(218),71.24530673027039,65.40716220617524,-35.90387399528956,367.1875,537.109375
tensor(218),71.85525298118591,52.703385394985716,-35.29760707433573,554.6875,554.6875
tensor(218),71.64074778556824,61.512703442093624,-33.73722232658241,425.78125,578.125
tensor(218),70.07936835289001,53.54852625866178,-17.696747101948354,548.828125,865.234375
tensor(219),70.27471661567688,66.73360224966667,-42.64127449144345,343.75,414.0625
tensor(219),70.62067985534668,63.58011738275562,-42.73818780145213,390.625,414.0625
tensor(219),72.1728265285492,65.02231554974803,-35.590175301614316,373.046875,542.96875
tensor(219),70.22159099578857,56.07426814215681,-14.25347681101379,513.671875,923.828125
tensor(220),71.26316428184509,70.36200601921368,-49.847363340677596,285.15625,279.296875
tensor(220),70.12499570846558,62.24315608666138,-47.25340010130852,408.203125,332.03125
tensor(220),71.6069221496582,57.973759361363655,-45.474122302836,472.65625,367.1875
tensor(220),71.74164652824402,54.49849618123251,-42.695715663509034,525.390625,419.921875
tensor(220),70.80172300338745,49.428619746715476,-38.97284593752842,601.5625,490.234375
tensor(220),72.37901091575623,62.617697969945766,-36.31044822711023,408.203125,531.25
tensor(221),72.09910154342651,67.48376958089355,-43.579064722341585,332.03125,396.484375
tensor(221),70.22317051887512,51.08297895845313,-36.32311051697631,578.125,537.109375
tensor(221),71.75789475440979,63.87750561798384,-34.321445389803465,390.625,566.40625
tensor(221),71.53146862983704,53.2019846732757,-15.34063401987077,554.6875,906.25
tensor(222),70.82769274711609,67.27235274074877,-48.99784946319861,332.03125,296.875
tensor(222),70.76988220214844,63.05134092951161,-46.591047684642206,396.484375,343.75
tensor(222),71.01936340332031,60.308233000563504,-46.358777414848554,437.5,349.609375
tensor(222),70.49417495727539,56.046038149528506,-43.9329459555724,501.953125,396.484375
tensor(222),70.1926589012146,52.94616132430838,-41.45465354838776,548.828125,443.359375
tensor(222),70.73004841804504,49.044208605302295,-38.33511675968984,607.421875,501.953125
tensor(222),71.47157192230225,61.447877157430305,-35.694540120108634,425.78125,542.96875
tensor(222),71.70293927192688,59.11226546537529,-34.13286698482155,460.9375,572.265625
tensor(222),72.05766439437866,52.73713104497597,-17.717250610859534,560.546875,865.234375
tensor(223),72.02780842781067,71.44209656813678,-42.81677371870289,273.4375,408.203125
tensor(223),70.99618315696716,66.38839240199735,-41.36773366969649,349.609375,437.5
tensor(223),71.76252603530884,62.30893448640925,-33.71431042902377,414.0625,578.125
tensor(224),70.09170055389404,67.27235274074877,-48.99784946319861,332.03125,296.875
tensor(224),70.30655145645142,71.19711440512667,-48.55526280856174,273.4375,302.734375
tensor(224),71.37385606765747,64.19591568243877,-47.50950198619381,378.90625,326.171875
tensor(224),72.51149415969849,58.752648803888036,-45.769284567875744,460.9375,361.328125
tensor(224),71.32453322410583,63.78550394336358,-36.925295525720266,390.625,519.53125
tensor(224),71.20057344436646,48.28741946125176,-36.40493023538583,619.140625,537.109375
tensor(224),70.2686607837677,58.4339112122539,-30.219792580186017,472.65625,642.578125
tensor(225),71.4087426662445,70.64252307601119,-43.16146446425799,285.15625,402.34375
tensor(225),71.40148878097534,62.42946931355736,-41.80990561793902,408.203125,431.640625
tensor(226),71.88025712966919,66.89312689737274,-48.69316726185926,337.890625,302.734375
