Model Name,Seed,F1-Score
A-only,42,0.1574507122951685
B-only,42,0.3394638369372869
Fusion (A+B),42,0.4353658230718754
A-only,100,0.14792603548243222
B-only,100,0.4210645766978326
Fusion (A+B),100,0.43534270246429746
A-only,2026,0.15971532807151037
B-only,2026,0.38453456281188086
Fusion (A+B),2026,0.4424196227156603
A-only,777,0.17284544784612038
B-only,777,0.3288736526329271
Fusion (A+B),777,0.420867197553422
A-only,1234,0.14648769937914996
B-only,1234,0.3744152019613684
Fusion (A+B),1234,0.42275082167486966
