dataset_index,sample_id,endpoint_layer_z,candidate_status,candidate_count,spatial_range,top1_score,top2_score,top1_top2_margin,top1_top2_margin_fraction_of_spatial_range,top1_top2_separation_model_px,top1_top2_separation_raw_px
0,test_z_203,203,emitted,5,0.5847436487674713,0.8792449831962585,0.8791952729225159,4.971027374267578e-05,8.501207981900377e-05,8.54400374531753,50.062521945219906
1,test_z_204,204,emitted,5,0.6437171697616577,0.9392204284667969,0.9373596906661987,0.0018607378005981445,0.002890613903132489,15.297058540778355,89.63120238737316
2,test_z_205,205,emitted,5,0.6541390419006348,0.9441259503364563,0.9072993993759155,0.03682655096054077,0.05629774191972906,48.41487374764082,283.6809008650829
3,test_z_206,206,emitted,5,0.6215987205505371,0.9090980887413025,0.8735955953598022,0.035502493381500244,0.05711481090253278,14.142135623730951,82.86407592029853
4,test_z_207,207,emitted,5,0.5446767210960388,0.8211889863014221,0.8189070820808411,0.0022819042205810547,0.004189465296018597,236.2371689637344,1384.2021618968813
5,test_z_208,208,emitted,5,0.6068874597549438,0.8968368172645569,0.8588699698448181,0.03796684741973877,0.06255994716890256,9.219544457292887,54.02076830445051
6,test_z_209,209,emitted,5,0.6121867597103119,0.9020676612854004,0.8912636041641235,0.010804057121276855,0.017648302499043526,10.0,58.59375
7,test_z_210,210,emitted,5,0.5696900486946106,0.8586955666542053,0.8218052983283997,0.036890268325805664,0.06475498108196928,8.54400374531753,50.062521945219906
8,test_z_211,211,emitted,5,0.5219962894916534,0.8025983572006226,0.7884341478347778,0.014164209365844727,0.027134693581133604,37.69615364994153,220.87590029262614
9,test_z_212,212,emitted,5,0.5913722813129425,0.8734756112098694,0.8305453658103943,0.0429302453994751,0.07259428071968978,34.655446902326915,203.05925919332176
10,test_z_213,213,emitted,5,0.6425418555736542,0.9289948344230652,0.906500518321991,0.02249431610107422,0.035008328104931846,33.61547262794322,196.9656599293548
11,test_z_214,214,emitted,5,0.6448306739330292,0.9409515261650085,0.9358953833580017,0.005056142807006836,0.00784103953394121,10.816653826391969,63.37883101401544
12,test_z_215,215,emitted,5,0.6240332722663879,0.9144446849822998,0.8968179225921631,0.01762676239013672,0.02824651052037525,19.209372712298546,112.5549182361243
