layer_z,led_t,a_mean,b_mean,a_std,b_std,a_full_scale_fraction,b_full_scale_fraction,mean_abs_difference,rmse_difference,sampled_pixel_correlation
1,1,51310.40625,47282.5625,16923.72265625,18648.70703125,0.459679,0.36812525,6690.552734375,12273.4560546875,0.788580699170762
1,2,61818.8359375,59853.96875,9262.23046875,11211.109375,0.81891825,0.72485725,3049.8935546875,7449.10205078125,0.7612702047376092
1,3,59632.94140625,57135.15234375,9646.529296875,12425.7197265625,0.546151,0.5201225,7129.55126953125,12127.177734375,0.45634366208189814
10,1,41656.75390625,39231.9453125,18617.72265625,20968.099609375,0.15976625,0.226763,6893.21728515625,11429.98828125,0.8412115676752765
10,2,52412.30078125,49286.7109375,16692.55078125,18597.603515625,0.45094875,0.4238535,6324.0263671875,11871.5634765625,0.781648311143286
10,3,36077.859375,37903.5703125,12737.7119140625,15117.712890625,0.023039,0.05434125,7098.13671875,9514.3359375,0.7887040186842985
20,1,42462.90625,40969.26171875,18758.73046875,21455.220703125,0.176666,0.26193725,6368.89453125,10831.7294921875,0.8602004318626806
20,2,51271.13671875,48782.61328125,17323.736328125,18889.5078125,0.43614575,0.41801725,6083.2685546875,11458.1708984375,0.8037035189939018
20,3,35635.7578125,38749.2421875,13012.2490234375,15381.9794921875,0.0196315,0.05542775,6765.89990234375,8705.529296875,0.8521218143868444
125,1,43467.5,41919.83984375,17944.6640625,20838.576171875,0.17496925,0.25734175,6320.79248046875,10804.3505859375,0.8510918990558763
125,2,50831.23046875,48226.453125,16202.18359375,17541.482421875,0.3987145,0.36504025,6604.201171875,11886.2294921875,0.7546445007714556
125,3,34826.70703125,38035.20703125,12725.294921875,15349.2412109375,0.0012355,0.0327045,6580.27099609375,8392.3798828125,0.8680948807971589
230,1,43226.46875,41369.4296875,17939.91015625,20929.173828125,0.17348225,0.2469985,6574.0625,11121.3916015625,0.8445477767812434
230,2,49402.296875,46405.80078125,17452.357421875,18644.005859375,0.3803725,0.33645825,6881.48583984375,12234.8994140625,0.7801121123865362
230,3,34691.27734375,37578.5625,12342.775390625,14926.87109375,0.00263225,0.0308855,6395.765625,8193.14453125,0.8628406977406166
250,1,43195.9140625,41434.88671875,17862.279296875,20853.541015625,0.17192625,0.245838,6496.20166015625,11021.6259765625,0.84542687784016
250,2,49603.87109375,46512.71484375,17338.31640625,18582.87109375,0.38234675,0.3358945,6822.55615234375,12117.509765625,0.7821315930468371
250,3,34748.28515625,37616.33203125,12189.8681640625,14809.953125,0.00207725,0.02967225,6383.46630859375,8178.7490234375,0.8607514161203098
