layer_z,led_t,dtype,height,width,min,max,mean,std,p01,p50,p99,p998,zero_fraction,full_scale_fraction
1,1,>u2,2000,2000,2592,65535,51310.40785025,16923.72148927333,11234.0,60830.0,65535.0,65535.0,0.0,0.459679
1,2,>u2,2000,2000,13795,65535,61818.83535975,9262.231279847412,27814.0,65535.0,65535.0,65535.0,0.0,0.81891825
1,3,>u2,2000,2000,5857,65535,59632.94534925,9646.528897581273,17444.0,65535.0,65535.0,65535.0,0.0,0.546151
2,1,>u2,2000,2000,2288,65535,50748.519713,17554.792894015325,9522.0,61262.0,65535.0,65535.0,0.0,0.46526475
2,2,>u2,2000,2000,6209,65535,60390.66102475,11661.048146150073,19956.0,65535.0,65535.0,65535.0,0.0,0.78865125
2,3,>u2,2000,2000,4913,65535,58445.1409765,10940.798333738203,16500.0,65535.0,65535.0,65535.0,0.0,0.50722275
3,1,>u2,2000,2000,2112,65535,50974.06819625,17434.581046820367,10402.0,61695.0,65535.0,65535.0,0.0,0.464615
3,2,>u2,2000,2000,4273,65535,60547.65291875,11392.841301423774,20501.0,65535.0,65535.0,65535.0,0.0,0.79227
3,3,>u2,2000,2000,4993,65535,59269.79735325,10109.216743051687,16500.0,65535.0,65535.0,65535.0,0.0,0.52995325
4,1,>u2,2000,2000,1808,65535,51011.6482145,17591.450298633466,10034.0,62687.0,65535.0,65535.0,0.0,0.475472
4,2,>u2,2000,2000,4689,65535,60235.05151025,11923.865898090264,18580.0,65535.0,65535.0,65535.0,0.0,0.7871945
4,3,>u2,2000,2000,4865,65535,58850.87484525,10540.398462012456,16307.0,65535.0,65535.0,65535.0,0.0,0.522621
5,1,>u2,2000,2000,2512,65535,55310.893765,15342.221553361678,12659.0,65535.0,65535.0,65535.0,0.0,0.58621175
5,2,>u2,2000,2000,5009,65535,59756.24898075,12582.220278621053,16644.0,65535.0,65535.0,65535.0,0.0,0.77731
5,3,>u2,2000,2000,4321,65535,57926.24552025,11353.453088334758,16131.0,65055.0,65535.0,65535.0,0.0,0.49009175
6,1,>u2,2000,2000,2160,65535,55128.7092365,15433.699151619745,12050.0,65535.0,65535.0,65535.0,0.0,0.57831725
6,2,>u2,2000,2000,5857,65535,59616.16352525,12818.51926985505,15267.0,65535.0,65535.0,65535.0,0.0,0.773094
6,3,>u2,2000,2000,4257,65535,57432.05938625,11927.971607456378,15987.0,64719.0,65535.0,65535.0,0.0,0.48385475
7,1,>u2,2000,2000,2432,65535,54701.87327575,15844.157802317757,10162.0,65535.0,65535.0,65535.0,0.0,0.56701925
7,2,>u2,2000,2000,2800,65535,59204.15032875,13681.254614004485,11138.0,65535.0,65535.0,65535.0,0.0,0.76856175
7,3,>u2,2000,2000,4305,65535,56621.75952775,12791.691974976036,15555.0,63903.0,65535.0,65535.0,0.0,0.468805
8,1,>u2,2000,2000,2240,65535,55296.94850875,15634.491599905108,10786.0,65535.0,65535.0,65535.0,0.0,0.5950445
8,2,>u2,2000,2000,2848,65535,59051.91522275,13810.862259857875,11314.0,65535.0,65535.0,65535.0,0.0,0.76649875
