candidate_transform_id,candidate_transform_family,lattice_orientation_variant,published_relative_d_a_angle_deg_sign_alternative,published_a_origin_in_d_mm,dot_pitch_mm,d_to_c_homography,a_to_d_affine,machine_a_to_raw_camera_c_candidate_homography,full_fit_inlier_count,full_fit_inlier_fraction,full_fit_rmse_px,full_fit_p95_residual_px,heldout_block_count,heldout_block_rmse_px,heldout_block_p95_residual_px,detected_camera_dot_pitch_px,heldout_block_rmse_camera_dot_pitch_fraction,inlier_threshold_px,status
candidate_01_pca_xy__dx_forward__dy_forward__A_to_D_+2.5deg,published_method2_dot_grid_D_to_layer_camera_C_composed_with_A_to_D,pca_xy__dx_forward__dy_forward,2.5,"[28.25, 24.25]",1.0,"[[0.18703893840840793, -10.107325235578232, 1455.2389973021093], [17.562548471860094, -0.17291858993180906, 758.194243150609], [0.00014345550638905933, -0.00014950682367844475, 1.0]]","[[0.9990482215818578, -0.043619387365336, 28.25], [0.043619387365336, 0.9990482215818578, 24.25], [0.0, 0.0, 1.0]]","[[-0.25401441589464424, -10.105863825460702, 1215.4202103493747], [17.538290214300098, -0.9388216146663716, 1250.1429616748103], [0.00013679757247832348, -0.00015562196761317743, 1.0004270775812887]]",1422,0.9367588932806324,6.1418530394975965,9.808309547373536,298,6.001552668809551,9.780915758822324,14.593398820230654,0.41125119259330256,16.612958063805067,candidate_for_human_review_only_not_auto_selected
candidate_01_pca_xy__dx_forward__dy_forward__A_to_D_-2.5deg,published_method2_dot_grid_D_to_layer_camera_C_composed_with_A_to_D,pca_xy__dx_forward__dy_forward,-2.5,"[28.25, 24.25]",1.0,"[[0.18703893840840793, -10.107325235578232, 1455.2389973021093], [17.562548471860094, -0.17291858993180906, 758.194243150609], [0.00014345550638905933, -0.00014950682367844475, 1.0]]","[[0.9990482215818578, 0.043619387365336, 28.25], [-0.043619387365336, 0.9990482215818578, 24.25], [0.0, 0.0, 1.0]]","[[0.6277362534616014, -10.089546777647026, 1215.4202103493747], [17.553375420213904, 0.5933135951667389, 1250.1429616748103], [0.00014984036458990564, -0.00014310708500742778, 1.0004270775812887]]",1422,0.9367588932806324,6.1418530394975965,9.808309547373536,298,6.001552668809551,9.780915758822324,14.593398820230654,0.41125119259330256,16.612958063805067,candidate_for_human_review_only_not_auto_selected
candidate_02_pca_xy__dx_forward__dy_reverse__A_to_D_+2.5deg,published_method2_dot_grid_D_to_layer_camera_C_composed_with_A_to_D,pca_xy__dx_forward__dy_reverse,2.5,"[28.25, 24.25]",1.0,"[[0.18841926674691475, 10.181916267624715, 967.0646159508848], [17.69215829298981, 0.17419471153493518, 755.2540986707065], [0.00014451419343288686, 0.00015061016882823787, 1.0]]","[[0.9990482215818578, -0.043619387365336, 28.25], [0.043619387365336, 0.9990482215818578, 24.25], [0.0, 0.0, 1.0]]","[[0.6323688831542015, 10.164006606482532, 1219.2989297263844], [17.682917545155618, -0.5976921891428225, 1259.2817922023908], [0.00015094617123773976, 0.0001441632007368562, 1.0077348225585638]]",1422,0.9367588932806324,6.141853039497598,9.808309547373522,298,6.001552668809572,9.780915758821795,14.593398820230654,0.411251192593304,16.612958063805888,candidate_for_human_review_only_not_auto_selected
candidate_02_pca_xy__dx_forward__dy_reverse__A_to_D_-2.5deg,published_method2_dot_grid_D_to_layer_camera_C_composed_with_A_to_D,pca_xy__dx_forward__dy_reverse,-2.5,"[28.25, 24.25]",1.0,"[[0.18841926674691475, 10.181916267624715, 967.0646159508848], [17.69215829298981, 0.17419471153493518, 755.2540986707065], [0.00014451419343288686, 0.00015061016882823787, 1.0]]","[[0.9990482215818578, 0.043619387365336, 28.25], [-0.043619387365336, 0.9990482215818578, 24.25], [0.0, 0.0, 1.0]]","[[-0.2558890164436757, 10.180444072449184, 1219.2989297263844], [17.66772101195675, 0.945750022678706, 1259.2817922023908], [0.00013780712464718465, 0.00015677044190313258, 1.0077348225585638]]",1422,0.9367588932806324,6.141853039497598,9.808309547373522,298,6.001552668809572,9.780915758821795,14.593398820230654,0.411251192593304,16.612958063805888,candidate_for_human_review_only_not_auto_selected
candidate_03_pca_xy__dx_reverse__dy_forward__A_to_D_+2.5deg,published_method2_dot_grid_D_to_layer_camera_C_composed_with_A_to_D,pca_xy__dx_reverse__dy_forward,2.5,"[28.25, 24.25]",1.0,"[[-0.1857333592265128, -10.036773544443037, 1454.1819949750422], [-17.43995743353361, -0.17171157436003062, 1607.4597694655458], [-0.0001424541506058056, -0.00014846322816718268, 1.0]]","[[0.9990482215818578, -0.043619387365336, 28.25], [0.043619387365336, 0.9990482215818578, 24.25], [0.0, 0.0, 1.0]]","[[-0.6233544953568891, -10.019119184652888, 1205.5432691241497], [-17.430848412112177, 0.5891721159388641, 1110.6169662899906], [-0.00014879444087861682, -0.00014210816129365088, 0.9923754369623319]]",1422,0.9367588932806324,6.141853039497597,9.80830954737371,298,6.001552668809533,9.780915758821992,14.593398820230654,0.41125119259330134,16.61295806380623,candidate_for_human_review_only_not_auto_selected
candidate_03_pca_xy__dx_reverse__dy_forward__A_to_D_-2.5deg,published_method2_dot_grid_D_to_layer_camera_C_composed_with_A_to_D,pca_xy__dx_reverse__dy_forward,-2.5,"[28.25, 24.25]",1.0,"[[-0.1857333592265128, -10.036773544443037, 1454.1819949750422], [-17.43995743353361, -0.17171157436003062, 1607.4597694655458], [-0.0001424541506058056, -0.00014846322816718268, 1.0]]","[[0.9990482215818578, 0.043619387365336, 28.25], [-0.043619387365336, 0.9990482215818578, 24.25], [0.0, 0.0, 1.0]]","[[0.25224133090954526, -10.03532233533842, 1205.5432691241497], [-17.41586850475793, -0.9322684019176832, 1110.6169662899906], [-0.0001358426907607516, -0.0001545356868478, 0.9923754369623319]]",1422,0.9367588932806324,6.141853039497597,9.80830954737371,298,6.001552668809533,9.780915758821992,14.593398820230654,0.41125119259330134,16.61295806380623,candidate_for_human_review_only_not_auto_selected
candidate_04_pca_xy__dx_reverse__dy_reverse__A_to_D_+2.5deg,published_method2_dot_grid_D_to_layer_camera_C_composed_with_A_to_D,pca_xy__dx_reverse__dy_reverse,2.5,"[28.25, 24.25]",1.0,"[[-0.18709441462407483, 10.110323093452106, 969.4324195556943], [-17.567757567540237, 0.17296987801685998, 1610.7637222408086], [-0.00014349805565008072, 0.00014955116777522415, 1.0]]","[[0.9990482215818578, -0.043619387365336, 28.25], [0.043619387365336, 0.9990482215818578, 24.25], [0.0, 0.0, 1.0]]","[[0.25408975720390886, 10.108861249876691, 1209.3223373587778], [-17.543492114920546, 0.9391000714988254, 1118.6690904997058], [-0.00013683814697954176, 0.00015566812547690114, 0.9995727957464344]]",1422,0.9367588932806324,6.141853039497603,9.808309547373362,298,6.001552668809569,9.78091575882224,14.593398820230654,0.4112511925933038,16.612958063806282,candidate_for_human_review_only_not_auto_selected
candidate_04_pca_xy__dx_reverse__dy_reverse__A_to_D_-2.5deg,published_method2_dot_grid_D_to_layer_camera_C_composed_with_A_to_D,pca_xy__dx_reverse__dy_reverse,-2.5,"[28.25, 24.25]",1.0,"[[-0.18709441462407483, 10.110323093452106, 969.4324195556943], [-17.567757567540237, 0.17296987801685998, 1610.7637222408086], [-0.00014349805565008072, 0.00014955116777522415, 1.0]]","[[0.9990482215818578, 0.043619387365336, 28.25], [-0.043619387365336, 0.9990482215818578, 24.25], [0.0, 0.0, 1.0]]","[[-0.6279224416000703, 10.092539362385935, 1209.3223373587778], [-17.55858179514405, -0.5934895734588757, 1118.6690904997058], [-0.00014988480761579347, 0.00014314953092575434, 0.9995727957464344]]",1422,0.9367588932806324,6.141853039497603,9.808309547373362,298,6.001552668809569,9.78091575882224,14.593398820230654,0.4112511925933038,16.612958063806282,candidate_for_human_review_only_not_auto_selected
candidate_05_swap_pca_xy__dx_forward__dy_forward__A_to_D_+2.5deg,published_method2_dot_grid_D_to_layer_camera_C_composed_with_A_to_D,swap_pca_xy__dx_forward__dy_forward,2.5,"[28.25, 24.25]",1.0,"[[-10.107325235578264, 0.18703893840842387, 1455.2389973021093], [-0.17291858993184242, 17.562548471860072, 758.1942431506101], [-0.00014950682367846708, 0.0001434555063890728, 1.0]]","[[0.9990482215818578, -0.043619387365336, 28.25], [0.043619387365336, 0.9990482215818578, 24.25], [0.0, 0.0, 1.0]]","[[-10.089546777647058, 0.6277362534616188, 1174.2427536534276], [0.5933135951667046, 17.553375420213886, 1179.2010934276423], [-0.00014310708500744952, 0.00014984036458992006, 0.9992552282610183]]",1422,0.9367588932806324,6.141853039497594,9.808309547373696,298,6.001552668809569,9.78091575882226,14.593398820230654,0.4112511925933038,16.612958063805156,candidate_for_human_review_only_not_auto_selected
candidate_05_swap_pca_xy__dx_forward__dy_forward__A_to_D_-2.5deg,published_method2_dot_grid_D_to_layer_camera_C_composed_with_A_to_D,swap_pca_xy__dx_forward__dy_forward,-2.5,"[28.25, 24.25]",1.0,"[[-10.107325235578264, 0.18703893840842387, 1455.2389973021093], [-0.17291858993184242, 17.562548471860072, 758.1942431506101], [-0.00014950682367846708, 0.0001434555063890728, 1.0]]","[[0.9990482215818578, 0.043619387365336, 28.25], [-0.043619387365336, 0.9990482215818578, 24.25], [0.0, 0.0, 1.0]]","[[-10.105863825460734, -0.25401441589462975, 1174.2427536534276], [-0.938821614666404, 17.538290214300076, 1179.2010934276423], [-0.0001556219676132003, 0.000136797572478336, 0.9992552282610183]]",1422,0.9367588932806324,6.141853039497594,9.808309547373696,298,6.001552668809569,9.78091575882226,14.593398820230654,0.4112511925933038,16.612958063805156,candidate_for_human_review_only_not_auto_selected
