candidate_transform_id,comparison_reference,reference_rank,reference_orientation,anchor_count,raw_pixel_shift_min,raw_pixel_shift_median,raw_pixel_shift_p95,raw_pixel_shift_max,reference_note
candidate_01_pca_xy__dx_forward__dy_forward__A_to_D_+2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,73.27929124664759,95.26518091913036,435.8681471628427,449.45172970403377,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_01_pca_xy__dx_forward__dy_forward__A_to_D_+2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,86.61288636244548,144.85446601051817,436.0317587273203,437.40844027229633,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_01_pca_xy__dx_forward__dy_forward__A_to_D_+2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,91.34173616065932,147.42543435792925,439.79119720732416,443.1000036823309,Current configured geometry composed with its raw pixel global offset; comparison only.
candidate_01_pca_xy__dx_forward__dy_forward__A_to_D_-2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,63.09410028795464,98.8154142135803,444.3095068522654,458.86462493288525,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_01_pca_xy__dx_forward__dy_forward__A_to_D_-2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,94.24189789413352,147.50722371702645,426.97562560579314,427.2163737740069,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_01_pca_xy__dx_forward__dy_forward__A_to_D_-2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,99.52030295310982,149.4240459135427,430.00173571295846,431.6441888508074,Current configured geometry composed with its raw pixel global offset; comparison only.
candidate_02_pca_xy__dx_forward__dy_reverse__A_to_D_+2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,71.21008306659263,267.7803772849287,370.1758388708364,395.06726295531155,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_02_pca_xy__dx_forward__dy_reverse__A_to_D_+2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,115.72912547060227,317.09927257185217,405.0854631957851,419.04043020792164,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_02_pca_xy__dx_forward__dy_reverse__A_to_D_+2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,119.07081289378327,311.6939159632148,410.0586377920625,424.9893766966469,Current configured geometry composed with its raw pixel global offset; comparison only.
candidate_02_pca_xy__dx_forward__dy_reverse__A_to_D_-2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,71.21008306659263,279.7412492433077,385.91646683012294,410.5213794311498,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_02_pca_xy__dx_forward__dy_reverse__A_to_D_-2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,115.72912547060227,299.67033831227496,391.9569369141474,405.34513852439704,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_02_pca_xy__dx_forward__dy_reverse__A_to_D_-2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,119.07081289378327,294.2545697347891,396.8653573933834,411.2718338256447,Current configured geometry composed with its raw pixel global offset; comparison only.
candidate_03_pca_xy__dx_reverse__dy_forward__A_to_D_+2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,72.61643311103388,283.44880842571223,391.3003222657806,414.3557613543564,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_03_pca_xy__dx_reverse__dy_forward__A_to_D_+2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,114.9408366091323,292.70608407406735,385.3446225745415,400.3040825932171,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_03_pca_xy__dx_reverse__dy_forward__A_to_D_+2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,111.49183416131929,298.07321017359806,380.40380416191954,394.3628436440876,Current configured geometry composed with its raw pixel global offset; comparison only.
candidate_03_pca_xy__dx_reverse__dy_forward__A_to_D_-2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,72.61643311103388,272.07579042157846,375.67205552031066,399.03263226559096,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_03_pca_xy__dx_reverse__dy_forward__A_to_D_-2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,114.9408366091323,310.1138512705137,398.8316085897549,414.3227235415099,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_03_pca_xy__dx_reverse__dy_forward__A_to_D_-2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,111.49183416131929,315.47282238737375,393.8271461379212,408.36167036137243,Current configured geometry composed with its raw pixel global offset; comparison only.
candidate_04_pca_xy__dx_reverse__dy_reverse__A_to_D_+2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,68.22890113723336,88.81574954292512,447.58226497254185,462.0852728988952,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_04_pca_xy__dx_reverse__dy_reverse__A_to_D_+2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,96.26775635664667,146.85446318923647,430.10635392479844,432.0762833974917,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_04_pca_xy__dx_reverse__dy_reverse__A_to_D_+2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,91.44016950088685,144.74434761550486,431.9100103503499,435.73573291770947,Current configured geometry composed with its raw pixel global offset; comparison only.
candidate_04_pca_xy__dx_reverse__dy_reverse__A_to_D_-2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,70.52853054656964,86.55344714201692,438.8709703944811,452.46191104137284,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_04_pca_xy__dx_reverse__dy_reverse__A_to_D_-2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,90.27802381142575,145.46171098315023,434.4793612023878,434.6716896634181,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_04_pca_xy__dx_reverse__dy_reverse__A_to_D_-2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,86.17840975214948,142.69574159610414,436.41901867579156,438.51685863589546,Current configured geometry composed with its raw pixel global offset; comparison only.
candidate_05_swap_pca_xy__dx_forward__dy_forward__A_to_D_+2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,8.107619793115045,415.88620701092293,419.7315542524549,419.9053595277575,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_05_swap_pca_xy__dx_forward__dy_forward__A_to_D_+2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,86.89875441544606,132.48981241138927,178.21543796741636,182.10018617689923,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_05_swap_pca_xy__dx_forward__dy_forward__A_to_D_+2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,87.99093504035267,132.30171355295363,177.58422002749802,181.3633994502273,Current configured geometry composed with its raw pixel global offset; comparison only.
candidate_05_swap_pca_xy__dx_forward__dy_forward__A_to_D_-2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,8.107619793115045,412.9708687467092,424.5530619768886,426.52862989037277,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_05_swap_pca_xy__dx_forward__dy_forward__A_to_D_-2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,92.18738036532021,132.48981241138927,171.81320763917358,171.9671877944236,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_05_swap_pca_xy__dx_forward__dy_forward__A_to_D_-2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,91.24488920260427,132.30171355295363,171.68155266648236,171.71960925908655,Current configured geometry composed with its raw pixel global offset; comparison only.
candidate_06_swap_pca_xy__dx_forward__dy_reverse__A_to_D_+2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,8.516732042445454,235.92148950658893,246.08447877121787,246.26094042866478,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_06_swap_pca_xy__dx_forward__dy_reverse__A_to_D_+2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,132.29657585990861,353.65502798839765,385.90028580283763,389.9562611832065,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_06_swap_pca_xy__dx_forward__dy_reverse__A_to_D_+2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,132.50285598196845,359.4212332413628,389.0887351851771,395.2867197206736,Current configured geometry composed with its raw pixel global offset; comparison only.
candidate_06_swap_pca_xy__dx_forward__dy_reverse__A_to_D_-2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,8.516732042445454,237.4176741890989,250.61261963704192,253.70640457234788,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_06_swap_pca_xy__dx_forward__dy_reverse__A_to_D_-2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,132.29657585990861,365.97911364051845,384.23394387290995,387.15743677971744,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_06_swap_pca_xy__dx_forward__dy_reverse__A_to_D_-2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,132.50285598196845,371.79843469748363,381.0030856735449,381.78494244630656,Current configured geometry composed with its raw pixel global offset; comparison only.
candidate_07_swap_pca_xy__dx_reverse__dy_forward__A_to_D_+2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,67.49797629596102,341.21677504051803,362.57005066819653,365.67651426361795,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_07_swap_pca_xy__dx_reverse__dy_forward__A_to_D_+2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,58.2810496324645,182.674480039139,296.47717579259006,296.85868732663613,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_07_swap_pca_xy__dx_reverse__dy_forward__A_to_D_+2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,57.849441256105024,182.72150101746598,296.090109239765,296.40172917968835,Current configured geometry composed with its raw pixel global offset; comparison only.
candidate_07_swap_pca_xy__dx_reverse__dy_forward__A_to_D_-2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,67.49797629596102,348.5440995914317,364.5720715622272,367.17512350375523,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_07_swap_pca_xy__dx_reverse__dy_forward__A_to_D_-2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,58.2810496324645,186.48302644586076,300.9271074090611,304.6007341589574,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_07_swap_pca_xy__dx_reverse__dy_forward__A_to_D_-2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,57.849441256105024,186.48228944152788,300.8520651634805,304.4553947862325,Current configured geometry composed with its raw pixel global offset; comparison only.
candidate_08_swap_pca_xy__dx_reverse__dy_reverse__A_to_D_+2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,23.28486438313807,67.54911183363753,113.5593747145188,116.08238868980202,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_08_swap_pca_xy__dx_reverse__dy_reverse__A_to_D_+2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,57.8534415872566,384.85898630454074,452.9181887315867,455.01581285431837,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_08_swap_pca_xy__dx_reverse__dy_reverse__A_to_D_+2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,58.319899104513055,390.1394585052338,455.6897960094503,459.5971393599217,Current configured geometry composed with its raw pixel global offset; comparison only.
candidate_08_swap_pca_xy__dx_reverse__dy_reverse__A_to_D_-2.5deg,screen_control_rank1_base_no_offset,1,mirror_rotate_90,5,28.270738198595982,67.54911183363753,110.4123536543705,111.69967962612158,Residual-only screen-control rank 1. No local offset was fit for this rank.
candidate_08_swap_pca_xy__dx_reverse__dy_reverse__A_to_D_-2.5deg,screen_control_rank2_base_no_offset,2,mirror_rotate_270,5,57.8534415872566,394.3527275179889,450.2479101388952,450.44761824670076,Configured rank-2 geometry before the selected local photometric raw offset.
candidate_08_swap_pca_xy__dx_reverse__dy_reverse__A_to_D_-2.5deg,screen_control_rank2_with_configured_offset,2,mirror_rotate_270,5,58.319899104513055,399.7465090242284,452.2764024601304,453.88676620647476,Current configured geometry composed with its raw pixel global offset; comparison only.
