image_lattice_col_index_0_to_49,assigned_cell_count,unique_row_count,row_min_assigned,row_max_assigned,contiguous_run_count,longest_contiguous_run,has_any_assigned_cell,runs_json
0,37,37,0,37,2,33,True,"[{""start_index"":0,""end_index"":3,""length"":4},{""start_index"":5,""end_index"":37,""length"":33}]"
1,31,31,3,37,3,28,True,"[{""start_index"":3,""end_index"":4,""length"":2},{""start_index"":8,""end_index"":8,""length"":1},{""start_index"":10,""end_index"":37,""length"":28}]"
2,33,33,0,37,3,27,True,"[{""start_index"":0,""end_index"":0,""length"":1},{""start_index"":5,""end_index"":9,""length"":5},{""start_index"":11,""end_index"":37,""length"":27}]"
3,34,34,0,37,4,26,True,"[{""start_index"":0,""end_index"":0,""length"":1},{""start_index"":2,""end_index"":5,""length"":4},{""start_index"":8,""end_index"":10,""length"":3},{""start_index"":12,""end_index"":37,""length"":26}]"
4,31,31,5,37,2,30,True,"[{""start_index"":5,""end_index"":5,""length"":1},{""start_index"":8,""end_index"":37,""length"":30}]"
5,29,29,7,37,2,28,True,"[{""start_index"":7,""end_index"":7,""length"":1},{""start_index"":10,""end_index"":37,""length"":28}]"
6,31,31,1,37,4,26,True,"[{""start_index"":1,""end_index"":1,""length"":1},{""start_index"":4,""end_index"":6,""length"":3},{""start_index"":9,""end_index"":9,""length"":1},{""start_index"":12,""end_index"":37,""length"":26}]"
7,29,29,6,37,3,26,True,"[{""start_index"":6,""end_index"":6,""length"":1},{""start_index"":9,""end_index"":10,""length"":2},{""start_index"":12,""end_index"":37,""length"":26}]"
8,33,33,4,39,4,27,True,"[{""start_index"":4,""end_index"":4,""length"":1},{""start_index"":6,""end_index"":9,""length"":4},{""start_index"":11,""end_index"":37,""length"":27},{""start_index"":39,""end_index"":39,""length"":1}]"
9,36,36,0,37,2,35,True,"[{""start_index"":0,""end_index"":0,""length"":1},{""start_index"":3,""end_index"":37,""length"":35}]"
10,31,31,1,37,3,24,True,"[{""start_index"":1,""end_index"":3,""length"":3},{""start_index"":8,""end_index"":11,""length"":4},{""start_index"":14,""end_index"":37,""length"":24}]"
11,32,32,2,37,3,25,True,"[{""start_index"":2,""end_index"":3,""length"":2},{""start_index"":7,""end_index"":11,""length"":5},{""start_index"":13,""end_index"":37,""length"":25}]"
12,33,33,0,37,3,29,True,"[{""start_index"":0,""end_index"":2,""length"":3},{""start_index"":5,""end_index"":5,""length"":1},{""start_index"":9,""end_index"":37,""length"":29}]"
