image_lattice_row_index_0_to_49,assigned_cell_count,unique_col_count,col_min_assigned,col_max_assigned,contiguous_run_count,longest_contiguous_run,has_any_assigned_cell,runs_json
0,10,10,0,37,8,2,True,"[{""start_index"":0,""end_index"":0,""length"":1},{""start_index"":2,""end_index"":3,""length"":2},{""start_index"":9,""end_index"":9,""length"":1},{""start_index"":12,""end_index"":13,""length"":2},{""start_index"":15,""end_index"":15,""length"":1},{""start_index"":23,""end_index"":23,""length"":1},{""start_index"":34,""end_index"":34,""length"":1},{""start_index"":37,""end_index"":37,""length"":1}]"
1,12,12,0,45,10,3,True,"[{""start_index"":0,""end_index"":0,""length"":1},{""start_index"":6,""end_index"":6,""length"":1},{""start_index"":10,""end_index"":10,""length"":1},{""start_index"":12,""end_index"":12,""length"":1},{""start_index"":14,""end_index"":14,""length"":1},{""start_index"":17,""end_index"":17,""length"":1},{""start_index"":30,""end_index"":30,""length"":1},{""start_index"":37,""end_index"":37,""length"":1},{""start_index"":39,""end_index"":41,""length"":3},{""start_index"":45,""end_index"":45,""length"":1}]"
2,12,12,0,49,8,3,True,"[{""start_index"":0,""end_index"":0,""length"":1},{""start_index"":3,""end_index"":3,""length"":1},{""start_index"":10,""end_index"":12,""length"":3},{""start_index"":14,""end_index"":15,""length"":2},{""start_index"":34,""end_index"":35,""length"":2},{""start_index"":37,""end_index"":37,""length"":1},{""start_index"":40,""end_index"":40,""length"":1},{""start_index"":49,""end_index"":49,""length"":1}]"
3,15,15,0,42,9,3,True,"[{""start_index"":0,""end_index"":1,""length"":2},{""start_index"":3,""end_index"":3,""length"":1},{""start_index"":9,""end_index"":11,""length"":3},{""start_index"":13,""end_index"":13,""length"":1},{""start_index"":15,""end_index"":15,""length"":1},{""start_index"":17,""end_index"":18,""length"":2},{""start_index"":33,""end_index"":35,""length"":3},{""start_index"":38,""end_index"":38,""length"":1},{""start_index"":42,""end_index"":42,""length"":1}]"
4,17,17,1,48,13,3,True,"[{""start_index"":1,""end_index"":1,""length"":1},{""start_index"":3,""end_index"":3,""length"":1},{""start_index"":6,""end_index"":6,""length"":1},{""start_index"":8,""end_index"":9,""length"":2},{""start_index"":13,""end_index"":13,""length"":1},{""start_index"":17,""end_index"":17,""length"":1},{""start_index"":19,""end_index"":19,""length"":1},{""start_index"":21,""end_index"":21,""length"":1},{""start_index"":29,""end_index"":29,""length"":1},{""start_index"":35,""end_index"":35,""length"":1},{""start_index"":37,""end_index"":39,""length"":3},{""start_index"":42,""end_index"":42,""length"":1},{""start_index"":47,""end_index"":48,""length"":2}]"
5,20,20,0,45,10,5,True,"[{""start_index"":0,""end_index"":0,""length"":1},{""start_index"":2,""end_index"":4,""length"":3},{""start_index"":6,""end_index"":6,""length"":1},{""start_index"":9,""end_index"":9,""length"":1},{""start_index"":12,""end_index"":12,""length"":1},{""start_index"":14,""end_index"":15,""length"":2},{""start_index"":20,""end_index"":20,""length"":1},{""start_index"":29,""end_index"":32,""length"":4},{""start_index"":36,""end_index"":40,""length"":5},{""start_index"":45,""end_index"":45,""length"":1}]"
6,20,20,0,47,13,4,True,"[{""start_index"":0,""end_index"":0,""length"":1},{""start_index"":2,""end_index"":2,""length"":1},{""start_index"":6,""end_index"":9,""length"":4},{""start_index"":14,""end_index"":14,""length"":1},{""start_index"":17,""end_index"":17,""length"":1},{""start_index"":20,""end_index"":21,""length"":2},{""start_index"":23,""end_index"":23,""length"":1},{""start_index"":25,""end_index"":25,""length"":1},{""start_index"":31,""end_index"":31,""length"":1},{""start_index"":36,""end_index"":36,""length"":1},{""start_index"":38,""end_index"":38,""length"":1},{""start_index"":42,""end_index"":45,""length"":4},{""start_index"":47,""end_index"":47,""length"":1}]"
7,26,26,0,49,16,6,True,"[{""start_index"":0,""end_index"":0,""length"":1},{""start_index"":2,""end_index"":2,""length"":1},{""start_index"":5,""end_index"":5,""length"":1},{""start_index"":8,""end_index"":9,""length"":2},{""start_index"":11,""end_index"":11,""length"":1},{""start_index"":13,""end_index"":13,""length"":1},{""start_index"":15,""end_index"":15,""length"":1},{""start_index"":18,""end_index"":22,""length"":5},{""start_index"":24,""end_index"":24,""length"":1},{""start_index"":26,""end_index"":26,""length"":1},{""start_index"":33,""end_index"":38,""length"":6},{""start_index"":41,""end_index"":41,""length"":1},{""start_index"":43,""end_index"":43,""length"":1},{""start_index"":45,""end_index"":45,""length"":1},{""start_index"":47,""end_index"":47,""length"":1},{""start_index"":49,""end_index"":49,""length"":1}]"
8,28,28,0,49,12,5,True,"[{""start_index"":0,""end_index"":4,""length"":5},{""start_index"":8,""end_index"":11,""length"":4},{""start_index"":13,""end_index"":13,""length"":1},{""start_index"":15,""end_index"":15,""length"":1},{""start_index"":17,""end_index"":18,""length"":2},{""start_index"":20,""end_index"":20,""length"":1},{""start_index"":23,""end_index"":27,""length"":5},{""start_index"":31,""end_index"":31,""length"":1},{""start_index"":37,""end_index"":38,""length"":2},{""start_index"":40,""end_index"":43,""length"":4},{""start_index"":46,""end_index"":46,""length"":1},{""start_index"":49,""end_index"":49,""length"":1}]"
9,38,38,0,49,9,12,True,"[{""start_index"":0,""end_index"":0,""length"":1},{""start_index"":2,""end_index"":4,""length"":3},{""start_index"":6,""end_index"":15,""length"":10},{""start_index"":17,""end_index"":19,""length"":3},{""start_index"":22,""end_index"":24,""length"":3},{""start_index"":26,""end_index"":27,""length"":2},{""start_index"":29,""end_index"":31,""length"":3},{""start_index"":33,""end_index"":44,""length"":12},{""start_index"":49,""end_index"":49,""length"":1}]"
10,37,37,0,45,9,9,True,"[{""start_index"":0,""end_index"":1,""length"":2},{""start_index"":3,""end_index"":5,""length"":3},{""start_index"":7,""end_index"":7,""length"":1},{""start_index"":9,""end_index"":14,""length"":6},{""start_index"":16,""end_index"":18,""length"":3},{""start_index"":20,""end_index"":26,""length"":7},{""start_index"":29,""end_index"":37,""length"":9},{""start_index"":39,""end_index"":43,""length"":5},{""start_index"":45,""end_index"":45,""length"":1}]"
11,39,39,0,49,7,11,True,"[{""start_index"":0,""end_index"":2,""length"":3},{""start_index"":4,""end_index"":5,""length"":2},{""start_index"":8,""end_index"":18,""length"":11},{""start_index"":20,""end_index"":30,""length"":11},{""start_index"":34,""end_index"":35,""length"":2},{""start_index"":38,""end_index"":46,""length"":9},{""start_index"":49,""end_index"":49,""length"":1}]"
12,46,46,0,49,4,21,True,"[{""start_index"":0,""end_index"":9,""length"":10},{""start_index"":12,""end_index"":25,""length"":14},{""start_index"":27,""end_index"":27,""length"":1},{""start_index"":29,""end_index"":49,""length"":21}]"
13,43,43,0,49,7,10,True,"[{""start_index"":0,""end_index"":9,""length"":10},{""start_index"":11,""end_index"":19,""length"":9},{""start_index"":21,""end_index"":28,""length"":8},{""start_index"":30,""end_index"":35,""length"":6},{""start_index"":38,""end_index"":43,""length"":6},{""start_index"":45,""end_index"":45,""length"":1},{""start_index"":47,""end_index"":49,""length"":3}]"
14,47,47,0,49,3,36,True,"[{""start_index"":0,""end_index"":35,""length"":36},{""start_index"":38,""end_index"":41,""length"":4},{""start_index"":43,""end_index"":49,""length"":7}]"
15,49,49,0,49,2,35,True,"[{""start_index"":0,""end_index"":13,""length"":14},{""start_index"":15,""end_index"":49,""length"":35}]"
16,49,49,0,49,2,41,True,"[{""start_index"":0,""end_index"":40,""length"":41},{""start_index"":42,""end_index"":49,""length"":8}]"
17,49,49,0,49,2,30,True,"[{""start_index"":0,""end_index"":29,""length"":30},{""start_index"":31,""end_index"":49,""length"":19}]"
18,49,49,0,49,2,40,True,"[{""start_index"":0,""end_index"":39,""length"":40},{""start_index"":41,""end_index"":49,""length"":9}]"
19,49,49,0,49,2,44,True,"[{""start_index"":0,""end_index"":43,""length"":44},{""start_index"":45,""end_index"":49,""length"":5}]"
20,49,49,0,49,2,48,True,"[{""start_index"":0,""end_index"":47,""length"":48},{""start_index"":49,""end_index"":49,""length"":1}]"
21,49,49,0,49,2,48,True,"[{""start_index"":0,""end_index"":47,""length"":48},{""start_index"":49,""end_index"":49,""length"":1}]"
22,49,49,0,49,2,47,True,"[{""start_index"":0,""end_index"":46,""length"":47},{""start_index"":48,""end_index"":49,""length"":2}]"
23,50,50,0,49,1,50,True,"[{""start_index"":0,""end_index"":49,""length"":50}]"
24,50,50,0,49,1,50,True,"[{""start_index"":0,""end_index"":49,""length"":50}]"
