left,right,axis,sign_left_to_right,distance_px,axis_alignment_cosine
1,109,1,-1,15.294227716605636,0.9983802540639988
1,108,1,1,16.297073307337328,0.9985159549178423
1,33,0,1,17.88865897808847,0.9986178547149129
2,412,0,1,16.467250420261127,0.9999720468909465
2,80,1,-1,16.991376274916465,0.9999970690573883
2,96,0,-1,18.093268557355934,0.9999939920506601
3,82,0,1,16.75702343790329,0.9999715781820837
3,116,1,-1,16.760327758244827,0.9999336992518388
3,62,0,-1,17.039987912325774,0.9999939591186864
4,31,1,-1,14.477932201312024,0.9999971223959796
4,200,1,1,16.50482976851811,0.9993194439610222
4,18,0,1,16.511800722404278,0.9983776350457065
5,121,1,-1,15.212658064768586,0.9999767182064045
5,180,0,1,16.314242036001747,0.9997497714762252
5,162,0,-1,16.577811046204708,0.9988696534471749
6,393,1,1,15.769375643465636,0.9998830534578391
6,152,1,-1,15.957823378405594,0.9971850433544468
6,145,0,-1,15.999171602802521,0.9972443264528619
6,459,0,1,18.006109155600335,0.9987662534666468
7,41,0,-1,16.366145459316908,0.9965044111176544
7,104,1,-1,17.124589671188062,0.9974019257131439
7,221,0,1,17.23018019633789,0.9944688425728202
8,166,1,-1,14.77172909894887,0.9999995442479082
8,176,0,-1,14.986124889451466,0.9976593485502838
8,238,0,1,19.136499142041675,0.9985368828786778
9,231,1,-1,16.963467318541664,0.9999951185585595
9,70,0,-1,17.587543458690682,0.9999879972738595
9,96,0,1,17.593535701734893,0.9999927408220702
10,154,1,-1,15.38257730993279,0.9992352507432245
10,238,1,1,16.023850663718775,0.9857637338194946
10,166,0,-1,16.428413580278114,0.999999784091899
10,439,0,1,17.56101575409732,0.9970970580539541
11,31,1,1,14.552848825368478,0.9991878870128605
11,427,1,-1,15.619837651473581,0.9951198072959578
11,527,0,1,18.028667867095844,0.998577616010219
12,172,1,1,14.51680577357577,0.9996587028111552
12,543,1,-1,15.370985257745271,0.993443016371089
12,260,0,1,17.527238463169386,0.9984307020221235
13,47,1,-1,14.773875662492792,0.999919040703357
13,41,1,1,15.817528084005383,0.9956268940998676
13,104,0,1,16.553017700974756,0.999997701835004
13,150,0,-1,17.49132576167945,0.999838546751306
14,203,1,1,15.155366338498977,0.9999788814757693
14,220,1,-1,15.423807491336083,0.9999981450191779
14,195,0,1,16.96987850293897,0.9999810803755781
14,1051,0,-1,16.982912058389275,0.9999991411875042
15,319,1,-1,14.541501222083504,0.9999909872037808
15,358,0,1,14.838956871929165,0.9999992601219477
15,642,1,1,15.921500792853093,0.9969200851159578
15,744,0,-1,16.255477260538115,0.9999578990273601
16,539,1,-1,15.755823244289866,0.9999232377575801
16,150,1,1,16.092807548602703,0.9977705075294669
16,398,0,-1,16.56794740504382,0.9955412622149612
16,47,0,1,16.63079220309692,0.9982977929458611
17,365,1,1,14.664495764421154,0.999721787090093
17,611,0,-1,15.089090736836638,0.9998870481204896
17,825,1,-1,15.644502502661721,0.9965683568943614
17,269,0,1,16.38210113149013,0.9999979126577296
18,194,1,-1,15.532391516680862,0.9998932831328007
18,186,1,1,15.667910419049143,0.9994917540234018
18,318,0,1,16.261735402589615,0.9999532920248864
19,599,1,-1,15.637088061373957,0.9999639378506738
19,292,1,1,15.697656474299274,0.9996778780295725
19,492,0,-1,16.016079325406192,0.9979740514856433
19,85,0,1,16.538542294231053,0.9995764651790336
20,234,1,1,15.038903580999584,0.9999984033197182
20,822,1,-1,15.164533871493006,0.9851165890952173
20,738,0,-1,16.30596910897246,0.9999495569595034
20,1081,0,1,17.848772940129688,0.9995424439619421
21,270,1,-1,14.106507910757331,0.9991951995955664
21,127,0,1,16.445759160180486,0.9995195820688044
21,135,0,-1,16.465176208014682,0.9999825816667325
21,94,1,1,16.817054823690388,0.9999613686367363
22,543,1,1,13.61827859070424,0.9955580770333611
22,957,0,1,14.889724469880854,0.9999385614344947
22,337,1,-1,15.228297168053787,0.9999592245929725
23,818,1,-1,14.65317271450572,0.997282347650622
23,430,1,1,15.653006522308532,0.9964005996867357
23,336,0,-1,15.962843180197074,0.9979344519017654
23,181,0,1,19.034527395746434,0.9999992712174461
24,199,1,-1,15.76434245127608,0.9997576561069516
24,30,0,-1,16.06472772492429,0.9999878331240726
24,26,0,1,17.90491173710994,0.9999739648265519
25,784,1,1,14.772628653475724,0.9946000932525346
25,995,1,-1,15.799867866929787,0.9971879116588869
25,422,0,1,17.54876094222045,0.998402451845028
25,1170,0,-1,18.222494884362668,0.9992430901778002
26,66,1,-1,16.001932007101058,0.9973597930940774
26,162,0,1,16.130375292446505,0.9981939078558221
27,101,0,-1,14.980403331861552,0.9999999421366054
27,1178,1,-1,16.390018037600456,0.9996252914161339
27,556,0,1,19.051167396475698,0.9999991616792319
28,54,1,1,15.661791742217245,0.9996950137413674
28,858,1,-1,15.701577074016306,0.9969735065527567
28,44,0,1,16.385392959443177,0.9999999169288344
28,325,0,-1,16.427601751207316,0.9999583842403642
29,438,1,-1,15.333804433016757,0.9973765562606268
29,30,0,1,16.424580580478718,0.999294070498113
29,82,0,-1,18.146613078574617,0.9995021669006763
30,193,1,-1,16.166313575716806,0.9979334243744393
31,194,0,1,16.677573021169078,0.9999771790543248
32,491,1,-1,14.986909691284358,0.9990745047210493
32,749,1,1,15.286700484689657,0.9913442186862318
32,366,0,-1,16.473900134000143,0.9978598374187391
32,674,0,1,18.992725563947218,0.999999867890738
33,39,1,-1,15.652661008555349,0.9999923443656467
33,62,1,1,15.79816334592175,0.9986305761280427
33,116,0,1,16.046983685795865,0.998342787866019
34,1170,1,-1,14.235853542683166,0.9998507833912265
34,46,1,1,15.688517513009606,0.9980536422462463
34,521,0,-1,16.36314310166758,0.9999937918608439
34,784,0,1,16.471118562331295,0.9974826090183335
35,388,1,1,13.411449972178323,0.9989056938233657
35,452,1,-1,15.304235880949992,0.9998337492715464
35,287,0,-1,16.217236472769198,0.9999650208241658
35,730,0,1,16.542373452580488,0.9994341455118977
36,43,1,1,14.524202085196537,0.9999245998675469
36,137,1,-1,14.873448893591661,0.993119395954189
36,255,0,-1,16.425515409496132,0.9969527189964364
36,336,0,1,17.93965079200197,0.9981159505963177
37,162,1,1,14.885343949600351,0.994357068419251
37,121,0,1,15.08847955073982,0.9996877340056786
37,155,1,-1,15.874159849219081,0.9976511923916205
37,66,0,-1,18.843340543421967,0.9999495295042979
38,183,1,-1,14.741625713190606,0.9927474708681738
38,698,1,1,15.693713888777635,0.9999437716392843
38,300,0,-1,16.2413652974036,0.9999192245733344
38,524,0,1,17.93021513236319,0.9985177299180551
39,118,1,-1,16.85033379352579,0.997570302695655
39,109,0,-1,16.941706772789672,0.9994591728796359
39,50,0,1,17.331296517250358,0.9983062072768489
40,314,1,1,14.441688016496709,0.9999579820920456
40,691,0,1,14.926063896117196,0.9999646886690299
40,640,1,-1,16.2678308242956,0.9991043992888794
40,795,0,-1,19.126115655476355,0.9999867656911399
41,93,0,-1,19.042362833396297,0.9999827561484889
42,241,1,-1,14.113916828889078,0.9999908135916885
42,65,0,1,16.52414063566124,0.997153545775725
42,541,0,-1,17.551524334481297,0.9999998330661358
43,187,0,-1,16.152746107303347,0.9982739325677474
43,704,0,1,16.278376076268952,0.999997547341896
43,462,1,1,16.740453460893836,0.9999200389018305
44,373,1,1,15.63696830320741,0.9997031853605424
44,149,1,-1,15.69223810554836,0.9982828096031642
44,531,0,1,18.070705811066475,0.9983375368899804
45,765,1,-1,14.68028524531598,0.998225699955254
45,165,1,1,14.746160506138018,0.9999546149830839
45,304,0,-1,16.074916864869312,0.9980139382154242
45,224,0,1,16.879986465078627,0.9994244620555552
46,965,1,1,15.469722059174842,0.99991416059672
46,409,0,-1,16.393234856211137,0.9999996348657523
46,433,0,1,17.32227542651453,0.9999687710680424
47,425,1,-1,15.223501925909092,0.9903447440895421
47,119,0,1,17.951465896091257,0.9987359227249908
48,806,1,-1,15.602340269162859,0.9965328197158316
48,270,1,1,16.277515692013605,0.9998246642003087
48,369,0,-1,16.787398821932843,0.9999829251459004
48,428,0,1,17.987417072207787,0.9997911325639969
49,280,1,-1,15.658864046520046,0.9893035572893132
49,939,0,-1,17.69052947629074,0.997898040286645
50,311,1,-1,14.749089487004476,0.9927287273983438
50,116,1,1,15.784629368790013,0.9970071394767679
50,305,0,1,16.061176571381726,0.994625668092008
51,76,1,1,14.48441729321814,0.9998804563928778
51,441,1,-1,14.52022168339662,0.9977387465672208
51,520,0,-1,14.974054171722896,0.9970688874679945
51,908,0,1,17.834880805552345,0.999743053241972
52,463,0,1,14.894554698649557,0.9999169665301768
52,341,1,1,14.919656020503036,0.9942824903824664
