component_rank_by_size,vertex_count,edge_count,aggregate_detector_response,maximum_detector_response,seed_source_candidate_index,seed_raw_x_px,seed_raw_y_px,bbox_x0_px,bbox_y0_px,bbox_x1_px,bbox_y1_px
1,1523,2812,253.6106464713812,0.21293336153030396,1,995.5066602121062,759.4105313624538,975.4680839942661,758.4868364047832,1524.58622117343,1612.6067757788003
2,11,10,1.6419965475797653,0.15896238386631012,1065,1538.439582309238,805.1256447203452,1468.3431645130302,785.0488760324237,1538.6124858106486,835.4240862636875
3,7,6,1.0721662044525146,0.16400295495986938,830,1619.1204378691073,1592.527468214731,1536.4797946489082,1591.7605263638502,1619.1204378691073,1594.684101813532
4,6,5,0.9069338589906693,0.15453651547431946,1260,1438.6433213909395,1287.1219729016723,1438.6433213909395,1254.6434813056844,1467.6571345502089,1304.5980026739694
5,6,6,0.8962379992008209,0.15564297139644623,1219,1495.823271306872,1335.4232077784998,1467.473413470045,1320.6085969601977,1495.823271306872,1353.3412209362696
6,5,4,0.7698549032211304,0.16215883195400238,926,1495.4373946806386,1383.613208823831,1495.4373946806386,1366.9138598727814,1537.5836409919607,1383.6708922536254
7,4,3,0.6149495989084244,0.15847061574459076,1087,1480.203134067212,1596.6610680577717,1480.203134067212,1578.3710192977958,1509.1524499934442,1596.6610680577717
8,4,3,0.6116302013397217,0.16092944145202637,981,1495.335078702025,1432.5004804301932,1495.335078702025,1417.2380807201118,1509.1869179269584,1448.5517589692079
9,4,3,0.6057290434837341,0.15564298629760742,1217,1496.2026592389007,1011.347290418926,1482.207574480218,1011.347290418926,1510.5699001206735,1028.5810240662145
10,3,2,0.4548807591199875,0.16117531061172485,974,1482.167776093919,1059.3521583038375,1468.160399723333,1059.3521583038375,1482.2334842641058,1075.4473229496825
11,3,2,0.4463978260755539,0.15035653114318848,1435,1454.0386015676092,1009.6501279019247,1440.1225970547139,1009.4572058150213,1454.459562333287,1026.2902606769417
12,2,1,0.3201376795768738,0.16560116410255432,760,1424.2461562681724,1547.7058296011583,1424.2461562681724,1547.595807144946,1438.1148601150219,1547.7058296011583
13,2,1,0.31190067529678345,0.15994590520858765,1026,1466.9292578677248,1467.3021232936821,1466.9292578677248,1465.368911280963,1480.6487242922065,1467.3021232936821
14,2,1,0.29948364198207855,0.1525694578886032,1340,1468.593552056165,995.5180271554034,1468.593552056165,995.5180271554034,1482.5199219542203,996.3569936879487
15,2,1,0.29677896201610565,0.14937300980091095,1485,1467.2014894979477,1547.205964879066,1466.736968333953,1547.205964879066,1467.2014894979477,1562.723184867762
