rank_by_response,feature_type,raw_x_px,raw_y_px,response
1,checkerboard_corner_candidate,376.0,583.0,0.00026599556440487504
2,checkerboard_corner_candidate,333.0,1832.0,0.00014712369011249393
3,checkerboard_corner_candidate,378.0,1820.0,0.00014693359844386578
4,checkerboard_corner_candidate,397.0,561.0,0.00014161280705593526
5,checkerboard_corner_candidate,370.0,1833.0,0.00012632072321139276
6,checkerboard_corner_candidate,168.0,1602.0,0.00011471424659248441
7,checkerboard_corner_candidate,363.0,1834.0,7.635125075466931e-05
8,checkerboard_corner_candidate,317.0,1826.0,5.144955503055826e-05
9,checkerboard_corner_candidate,178.0,553.0,4.39556097262539e-05
10,checkerboard_corner_candidate,841.0,1398.0,4.358950536698103e-05
11,checkerboard_corner_candidate,156.0,546.0,4.3326435843482614e-05
12,checkerboard_corner_candidate,1039.0,1421.0,4.2960033169947565e-05
13,checkerboard_corner_candidate,1039.0,1325.0,4.290093056624755e-05
14,checkerboard_corner_candidate,1017.0,1445.0,4.274949606042355e-05
15,checkerboard_corner_candidate,930.0,1349.0,4.2567600758047774e-05
16,checkerboard_corner_candidate,819.0,1374.0,4.253569932188839e-05
17,checkerboard_corner_candidate,1060.0,1444.0,4.25306789111346e-05
18,checkerboard_corner_candidate,1125.0,1325.0,4.214042564854026e-05
19,checkerboard_corner_candidate,952.0,1422.0,4.213529246044345e-05
20,checkerboard_corner_candidate,974.0,1349.0,4.2116298573091626e-05
21,checkerboard_corner_candidate,1039.0,1373.0,4.199703107587993e-05
22,checkerboard_corner_candidate,1082.0,1373.0,4.1954932385124266e-05
23,checkerboard_corner_candidate,995.0,1373.0,4.189331230008975e-05
24,checkerboard_corner_candidate,996.0,1325.0,4.1717161366250366e-05
25,checkerboard_corner_candidate,1082.0,1420.0,4.16274560848251e-05
26,checkerboard_corner_candidate,1061.0,1302.0,4.1571020119590685e-05
27,checkerboard_corner_candidate,349.0,588.0,4.1356652218382806e-05
28,checkerboard_corner_candidate,1081.0,1562.0,4.1309594962513074e-05
29,checkerboard_corner_candidate,1017.0,1397.0,4.120139419683255e-05
30,checkerboard_corner_candidate,864.0,1277.0,4.114697367185727e-05
31,checkerboard_corner_candidate,995.0,1421.0,4.1095529013546184e-05
32,checkerboard_corner_candidate,930.0,1398.0,4.0865888877306134e-05
33,checkerboard_corner_candidate,1017.0,1492.0,4.084097599843517e-05
34,checkerboard_corner_candidate,1060.0,1397.0,4.081979568582028e-05
35,checkerboard_corner_candidate,1124.0,1514.0,4.077074117958546e-05
36,checkerboard_corner_candidate,157.0,464.0,4.077043922734447e-05
37,checkerboard_corner_candidate,930.0,1301.0,4.0704897401155904e-05
38,checkerboard_corner_candidate,863.0,1374.0,4.059875209350139e-05
39,checkerboard_corner_candidate,1016.0,1540.0,4.049715062137693e-05
40,checkerboard_corner_candidate,952.0,1373.0,4.0360122511629015e-05
41,checkerboard_corner_candidate,841.0,1350.0,4.013885336462408e-05
42,checkerboard_corner_candidate,908.0,1326.0,4.006076051155105e-05
43,checkerboard_corner_candidate,886.0,1350.0,3.9894912333693355e-05
44,checkerboard_corner_candidate,907.0,1470.0,3.988607568317093e-05
45,checkerboard_corner_candidate,929.0,1494.0,3.986130832345225e-05
46,checkerboard_corner_candidate,796.0,1398.0,3.9859849493950605e-05
47,checkerboard_corner_candidate,1061.0,1349.0,3.975820800405927e-05
48,checkerboard_corner_candidate,929.0,1446.0,3.973054117523134e-05
49,checkerboard_corner_candidate,819.0,1325.0,3.969044701079838e-05
50,checkerboard_corner_candidate,995.0,1564.0,3.9604565245099366e-05
51,checkerboard_corner_candidate,863.0,1422.0,3.9585327613167465e-05
52,checkerboard_corner_candidate,973.0,1397.0,3.953375562559813e-05
53,checkerboard_corner_candidate,1017.0,1349.0,3.939835733035579e-05
54,checkerboard_corner_candidate,818.0,1423.0,3.9383307012030855e-05
55,checkerboard_corner_candidate,908.0,1374.0,3.935393033316359e-05
56,checkerboard_corner_candidate,974.0,1302.0,3.928508886019699e-05
57,checkerboard_corner_candidate,1102.0,1538.0,3.920743620255962e-05
58,checkerboard_corner_candidate,1104.0,1302.0,3.91839821531903e-05
59,checkerboard_corner_candidate,952.0,1277.0,3.9115937397582456e-05
60,checkerboard_corner_candidate,886.0,1301.0,3.911228122888133e-05
61,checkerboard_corner_candidate,1145.0,1443.0,3.902021126123145e-05
62,checkerboard_corner_candidate,1060.0,1492.0,3.9011451008263975e-05
63,checkerboard_corner_candidate,1124.0,1467.0,3.898855356965214e-05
64,checkerboard_corner_candidate,973.0,1493.0,3.896090856869705e-05
65,checkerboard_corner_candidate,951.0,1565.0,3.8921323721297085e-05
66,checkerboard_corner_candidate,952.0,1325.0,3.892070162692107e-05
67,checkerboard_corner_candidate,885.0,1398.0,3.890082734869793e-05
68,checkerboard_corner_candidate,1146.0,1349.0,3.8892139855306596e-05
69,checkerboard_corner_candidate,1103.0,1491.0,3.882318560499698e-05
70,checkerboard_corner_candidate,1059.0,1587.0,3.877509880112484e-05
71,checkerboard_corner_candidate,841.0,1447.0,3.8758458686061203e-05
72,checkerboard_corner_candidate,1038.0,1468.0,3.871856824844144e-05
73,checkerboard_corner_candidate,1125.0,1373.0,3.866823317366652e-05
74,checkerboard_corner_candidate,1103.0,1349.0,3.864978862111457e-05
