rank_by_response,feature_type,raw_x_px,raw_y_px,response
1,dot_center_candidate,943.0,982.0,0.21581387519836426
2,dot_center_candidate,804.0,1043.0,0.18751853704452515
3,dot_center_candidate,741.0,1190.0,0.18732130527496338
4,dot_center_candidate,850.0,1791.0,0.18436358869075775
5,dot_center_candidate,729.0,1194.0,0.18318051099777222
6,dot_center_candidate,881.0,1790.0,0.18120869994163513
7,dot_center_candidate,735.0,1192.0,0.18091297149658203
8,dot_center_candidate,893.0,1806.0,0.17696934938430786
9,dot_center_candidate,709.0,1844.0,0.1747017502784729
10,dot_center_candidate,852.0,1799.0,0.17411021888256073
11,dot_center_candidate,758.0,1853.0,0.17361725866794586
12,dot_center_candidate,943.0,1790.0,0.17203983664512634
13,dot_center_candidate,997.0,758.0,0.17075815796852112
14,dot_center_candidate,853.0,1814.0,0.16996942460536957
15,dot_center_candidate,901.0,1800.0,0.1693778932094574
16,dot_center_candidate,907.0,1800.0,0.1692793071269989
17,dot_center_candidate,975.0,1170.0,0.16809622943401337
18,dot_center_candidate,871.0,1790.0,0.16720890998840332
19,dot_center_candidate,977.0,794.0,0.16632160544395447
20,dot_center_candidate,1135.0,766.0,0.1657300591468811
21,dot_center_candidate,979.0,910.0,0.16543430089950562
22,dot_center_candidate,993.0,944.0,0.16523712873458862
23,dot_center_candidate,975.0,1050.0,0.1642512083053589
24,dot_center_candidate,870.0,1813.0,0.16306813061237335
25,dot_center_candidate,975.0,1046.0,0.1620822250843048
26,dot_center_candidate,1099.0,1386.0,0.16149067878723145
27,dot_center_candidate,979.0,1234.0,0.16139209270477295
28,dot_center_candidate,892.0,1789.0,0.16099773347377777
29,dot_center_candidate,975.0,1132.0,0.1604061871767044
30,dot_center_candidate,975.0,1166.0,0.16011041402816772
31,dot_center_candidate,993.0,762.0,0.16001182794570923
32,dot_center_candidate,936.0,1787.0,0.15991325676441193
33,dot_center_candidate,991.0,1250.0,0.15951886773109436
34,dot_center_candidate,1161.0,766.0,0.15902593731880188
35,dot_center_candidate,995.0,1030.0,0.15843437612056732
36,dot_center_candidate,1239.0,770.0,0.15843436121940613
37,dot_center_candidate,754.0,1855.0,0.15823721885681152
38,dot_center_candidate,739.0,1186.0,0.15813863277435303
39,dot_center_candidate,1069.0,1132.0,0.15804003179073334
40,dot_center_candidate,1163.0,1122.0,0.15784285962581635
41,dot_center_candidate,1131.0,782.0,0.15774427354335785
42,dot_center_candidate,1101.0,830.0,0.15774425864219666
43,dot_center_candidate,1011.0,1014.0,0.15774424374103546
44,dot_center_candidate,1053.0,1082.0,0.1570541262626648
45,dot_center_candidate,1057.0,1014.0,0.1567583680152893
46,dot_center_candidate,1207.0,1134.0,0.1567583531141281
47,dot_center_candidate,977.0,914.0,0.1567583531141281
48,dot_center_candidate,944.0,1809.0,0.15656116604804993
49,dot_center_candidate,1265.0,776.0,0.15656116604804993
50,dot_center_candidate,1039.0,912.0,0.15646256506443024
51,dot_center_candidate,1189.0,1038.0,0.15626540780067444
52,dot_center_candidate,977.0,860.0,0.15626540780067444
53,dot_center_candidate,944.0,1801.0,0.15616682171821594
54,dot_center_candidate,977.0,880.0,0.15616679191589355
55,dot_center_candidate,1055.0,778.0,0.15606820583343506
56,dot_center_candidate,979.0,830.0,0.15587103366851807
57,dot_center_candidate,977.0,846.0,0.15577244758605957
58,dot_center_candidate,1148.0,765.0,0.15557527542114258
59,dot_center_candidate,975.0,1238.0,0.15547668933868408
60,dot_center_candidate,1117.0,1234.0,0.15537810325622559
61,dot_center_candidate,852.0,1803.0,0.1553780883550644
62,dot_center_candidate,993.0,778.0,0.1553780883550644
63,dot_center_candidate,1179.0,1018.0,0.1551809161901474
64,dot_center_candidate,886.0,1813.0,0.1550823301076889
65,dot_center_candidate,1175.0,950.0,0.1550823152065277
66,dot_center_candidate,1039.0,878.0,0.1549837291240692
67,dot_center_candidate,993.0,898.0,0.15488514304161072
68,dot_center_candidate,1085.0,930.0,0.15478654205799103
69,dot_center_candidate,1009.0,776.0,0.15468795597553253
70,dot_center_candidate,734.0,1203.0,0.15458938479423523
71,dot_center_candidate,979.0,1034.0,0.15458936989307404
72,dot_center_candidate,1037.0,1290.0,0.15409642457962036
73,dot_center_candidate,740.0,1855.0,0.15399783849716187
74,dot_center_candidate,1027.0,878.0,0.15399783849716187
75,dot_center_candidate,1055.0,794.0,0.15399783849716187
76,dot_center_candidate,979.0,1286.0,0.15389925241470337
77,dot_center_candidate,766.0,1845.0,0.15389923751354218
78,dot_center_candidate,1007.0,1098.0,0.15389923751354218
79,dot_center_candidate,975.0,1558.0,0.15380065143108368
80,dot_center_candidate,1161.0,1016.0,0.15380065143108368
81,dot_center_candidate,887.0,1789.0,0.15380063652992249
82,dot_center_candidate,1007.0,1030.0,0.15370208024978638
83,dot_center_candidate,743.0,1862.0,0.1536034643650055
84,dot_center_candidate,1087.0,1014.0,0.1536034643650055
85,dot_center_candidate,1013.0,794.0,0.1534062922000885
86,dot_center_candidate,1145.0,1066.0,0.15330770611763
87,dot_center_candidate,1007.0,1234.0,0.1532091200351715
88,dot_center_candidate,933.0,1810.0,0.15301193296909332
89,dot_center_candidate,1132.0,965.0,0.15291334688663483
90,dot_center_candidate,1161.0,820.0,0.15291333198547363
91,dot_center_candidate,1039.0,778.0,0.15281474590301514
92,dot_center_candidate,1103.0,998.0,0.15271617472171783
93,dot_center_candidate,1023.0,1132.0,0.15261757373809814
94,dot_center_candidate,1283.0,790.0,0.15251898765563965
95,dot_center_candidate,1175.0,902.0,0.15251897275447845
96,dot_center_candidate,1025.0,760.0,0.15242040157318115
97,dot_center_candidate,1205.0,1084.0,0.15242038667201996
98,dot_center_candidate,977.0,776.0,0.15232181549072266
99,dot_center_candidate,975.0,1614.0,0.15232180058956146
100,dot_center_candidate,1027.0,810.0,0.15232178568840027
101,dot_center_candidate,1053.0,1154.0,0.15222321450710297
102,dot_center_candidate,1191.0,1352.0,0.15212462842464447
103,dot_center_candidate,1039.0,828.0,0.15212462842464447
104,dot_center_candidate,975.0,1302.0,0.1520260125398636
105,dot_center_candidate,995.0,876.0,0.1518288403749466
106,dot_center_candidate,1069.0,1166.0,0.1516316533088684
107,dot_center_candidate,1159.0,1084.0,0.1515330821275711
108,dot_center_candidate,854.0,1791.0,0.1515330672264099
109,dot_center_candidate,975.0,1114.0,0.1515330672264099
110,dot_center_candidate,975.0,1030.0,0.15133588016033173
111,dot_center_candidate,1179.0,784.0,0.15133588016033173
112,dot_center_candidate,1145.0,850.0,0.15123729407787323
113,dot_center_candidate,1133.0,1016.0,0.15113870799541473
114,dot_center_candidate,1195.0,820.0,0.15113870799541473
115,dot_center_candidate,981.0,880.0,0.15104013681411743
116,dot_center_candidate,1133.0,1066.0,0.15104012191295624
117,dot_center_candidate,1132.0,831.0,0.15104012191295624
118,dot_center_candidate,1099.0,1066.0,0.15104010701179504
119,dot_center_candidate,1023.0,1302.0,0.15084296464920044
120,dot_center_candidate,977.0,810.0,0.15084296464920044
121,dot_center_candidate,1193.0,1106.0,0.15084294974803925
122,dot_center_candidate,1159.0,1470.0,0.15084293484687805
123,dot_center_candidate,995.0,1170.0,0.15084293484687805
124,dot_center_candidate,1069.0,914.0,0.15074433386325836
125,dot_center_candidate,1055.0,1098.0,0.15064577758312225
126,dot_center_candidate,727.0,1204.0,0.15054717659950256
127,dot_center_candidate,995.0,1150.0,0.15054717659950256
128,dot_center_candidate,991.0,1182.0,0.15035000443458557
129,dot_center_candidate,1053.0,1086.0,0.15034998953342438
130,dot_center_candidate,1189.0,1218.0,0.1502513885498047
131,dot_center_candidate,1089.0,966.0,0.15015281736850739
132,dot_center_candidate,751.0,1182.0,0.1499556601047516
133,dot_center_candidate,974.0,1477.0,0.1499556452035904
134,dot_center_candidate,975.0,1082.0,0.149955615401268
135,dot_center_candidate,1159.0,1386.0,0.1498570442199707
136,dot_center_candidate,981.0,964.0,0.1498570442199707
137,dot_center_candidate,1129.0,1134.0,0.1497584581375122
138,dot_center_candidate,1037.0,1014.0,0.1497584581375122
139,dot_center_candidate,979.0,1012.0,0.1497584581375122
140,dot_center_candidate,1195.0,838.0,0.1497584581375122
141,dot_center_candidate,991.0,1148.0,0.149758443236351
142,dot_center_candidate,1117.0,1454.0,0.1496598720550537
143,dot_center_candidate,1149.0,950.0,0.14956127107143402
144,dot_center_candidate,1221.0,806.0,0.14936409890651703
145,dot_center_candidate,975.0,1150.0,0.14936408400535583
146,dot_center_candidate,919.0,1788.0,0.14926551282405853
147,dot_center_candidate,995.0,1046.0,0.14926551282405853
148,dot_center_candidate,1009.0,978.0,0.14926551282405853
149,dot_center_candidate,975.0,1370.0,0.14926549792289734
150,dot_center_candidate,1117.0,1166.0,0.14926549792289734
151,dot_center_candidate,1144.0,1101.0,0.14916692674160004
152,dot_center_candidate,990.0,1167.0,0.14916691184043884
153,dot_center_candidate,1083.0,1170.0,0.14906832575798035
154,dot_center_candidate,880.0,1805.0,0.14906831085681915
155,dot_center_candidate,978.0,757.0,0.14896973967552185
156,dot_center_candidate,1012.0,759.0,0.14887115359306335
157,dot_center_candidate,1070.0,1183.0,0.14887113869190216
158,dot_center_candidate,1253.0,970.0,0.14887113869190216
159,dot_center_candidate,1068.0,1353.0,0.14867398142814636
160,dot_center_candidate,1039.0,1488.0,0.14867396652698517
161,dot_center_candidate,1129.0,1218.0,0.14867396652698517
162,dot_center_candidate,1129.0,1374.0,0.14867395162582397
