rank_by_integrated_red_dominance,area_px,integrated_red_dominance,peak_red_dominance,centroid_x_px,centroid_y_px,weighted_spread_px,bbox_x0_px,bbox_y0_px,bbox_x1_px,bbox_y1_px,touches_image_boundary
1,462,144.75240883231163,0.5947906970977783,791.0333503102586,2108.9952616180963,8.383306977020826,776,2100,807,2118,False
2,268,122.42312815785408,0.6813497543334961,2585.623546718041,2048.9061906245147,6.052429318925049,2577,2041,2596,2059,False
3,462,110.55623131990433,0.41825854778289795,2617.806136144842,2010.7089961668598,10.567266053860289,2604,1987,2632,2024,False
4,298,109.20817145705223,0.5485944747924805,2583.752973777627,2013.0047967208484,6.629172942060321,2575,2002,2593,2022,False
5,384,106.13595014810562,0.464067280292511,2620.832017498426,2047.4814936431521,7.784500483303494,2611,2036,2633,2059,False
6,422,97.3877517580986,0.39756399393081665,2552.047188382592,2046.543100319509,10.564173085852715,2541,2028,2564,2068,False
7,367,84.05925898253918,0.3613066077232361,2551.773643704113,2012.2571841292763,9.818284824196734,2540,1994,2562,2025,False
8,396,81.12643939256668,0.2585355043411255,2530.5392661537426,2001.870527795448,8.682591295859375,2520,1990,2542,2021,False
9,266,55.750251576304436,0.3156968951225281,2589.42175018723,2078.6223055251553,8.711515654195393,2577,2068,2602,2091,False
10,234,46.97644646465778,0.2768213152885437,2586.215609701609,1986.6648659607977,8.33825309026074,2572,1975,2601,2000,False
11,82,15.413053005933762,0.219607412815094,2561.2426112232893,2078.8302477794227,6.130107541317612,2551,2071,2570,2088,False
12,76,15.043369382619858,0.2378827929496765,2619.243172393287,2075.321682374774,5.596693063464127,2612,2072,2630,2083,False
13,65,11.585123181343079,0.18527710437774658,2572.0726976514024,1997.818733382713,5.009872817812621,2563,1994,2580,2003,False
14,58,10.653616786003113,0.20585644245147705,2555.803560708373,1987.7930794806232,4.177419102900137,2549,1981,2560,1992,False
15,58,10.235307276248932,0.1921473741531372,2572.697958084209,2076.0164235711654,4.111866420678254,2567,2072,2579,2081,False
16,47,9.098874390125275,0.21277910470962524,2613.66640516097,1984.6490536254717,4.988684042431219,2607,1978,2622,1988,False
17,49,8.758818626403809,0.1898432970046997,2627.9491230443364,2030.4746719247232,4.149083127696455,2622,2024,2634,2034,False
18,26,4.664530694484711,0.1898747682571411,2573.8214925919433,1991.6252615920048,2.591789539205149,2569,1989,2578,1993,False
19,24,4.26884138584137,0.1853085160255432,2621.203686887415,2064.4844776002615,2.302283975793985,2618,2062,2625,2068,False
20,17,3.1086360216140747,0.1921473741531372,2604.4746062344516,2004.6644959650275,2.019368289112446,2603,2001,2606,2007,False
21,15,2.674333333969116,0.1853085160255432,2609.729671554708,2071.0017191590205,1.7666500507750522,2607,2070,2612,2072,False
22,14,2.463983654975891,0.18302541971206665,2606.862592554121,2077.4874590173017,2.023253437335749,2605,2075,2609,2080,False
23,10,1.774841547012329,0.17840683460235596,2566.5077861698164,2006.1997474552422,1.7335343950181306,2564,2005,2569,2008,False
24,8,1.4162266254425049,0.1807423233985901,2546.1260030369936,1995.3796430943328,1.6137299173005946,2544,1995,2548,1996,False
25,7,1.2171043753623962,0.17387205362319946,2566.714285714286,1987.857142857143,1.7023393268304265,2564,1987,2569,1988,False
26,7,1.2171043753623962,0.17387205362319946,2561.714285714286,1992.4285714285713,1.1428571428571428,2560,1992,2563,1993,False
27,6,1.056868314743042,0.17614471912384033,2598.5,1989.0,1.3844373104863459,2597,1988,2599,1991,False
28,5,0.8989044427871704,0.1852666139602661,2564.200976267403,2062.793932331524,1.0526196571219015,2563,2062,2565,2064,False
29,5,0.8896881341934204,0.1783963441848755,2594.5989688131635,2001.8020623736725,0.894424218851739,2594,2001,2595,2003,False
30,4,0.7293578386306763,0.18756020069122314,2644.2476665483878,2013.5080695657632,1.1918216576280458,2644,2012,2645,2015,False
31,4,0.7252838015556335,0.18532949686050415,2525.7602703200455,2022.5268509184111,1.1924980003492778,2525,2021,2526,2024,False
32,4,0.7045788764953613,0.17614471912384033,2560.5,2065.5,0.7071067811865476,2560,2065,2561,2066,False
33,4,0.7023584842681885,0.1807423233985901,2544.9902182860615,2001.5048908569693,0.8687757216680161,2544,2001,2546,2002,False
34,3,0.5308008790016174,0.17845916748046875,2533.6637926300796,2019.6724147398404,0.6659167604267862,2533,2019,2534,2020,False
35,3,0.5306962728500366,0.17841732501983643,2618.336194795682,2028.331912485795,0.6670190721460955,2618,2028,2619,2029,False
