rank_by_response,feature_type,raw_x_px,raw_y_px,response
1,roi_restricted_checkerboard_corner_candidate,966.0,1757.0,5.3053627198096365e-05
2,roi_restricted_checkerboard_corner_candidate,841.0,1398.0,4.976124546374194e-05
3,roi_restricted_checkerboard_corner_candidate,1039.0,1421.0,4.903576700598933e-05
4,roi_restricted_checkerboard_corner_candidate,1039.0,1325.0,4.8947018512990326e-05
5,roi_restricted_checkerboard_corner_candidate,1017.0,1445.0,4.8768866690807045e-05
6,roi_restricted_checkerboard_corner_candidate,930.0,1349.0,4.858254760620184e-05
7,roi_restricted_checkerboard_corner_candidate,819.0,1374.0,4.85157361254096e-05
8,roi_restricted_checkerboard_corner_candidate,1060.0,1444.0,4.8436137149110436e-05
9,roi_restricted_checkerboard_corner_candidate,1125.0,1325.0,4.811607504962012e-05
10,roi_restricted_checkerboard_corner_candidate,952.0,1422.0,4.811020698980428e-05
11,roi_restricted_checkerboard_corner_candidate,1039.0,1373.0,4.793793414137326e-05
12,roi_restricted_checkerboard_corner_candidate,1082.0,1373.0,4.780920789926313e-05
13,roi_restricted_checkerboard_corner_candidate,974.0,1349.0,4.7779642045497894e-05
14,roi_restricted_checkerboard_corner_candidate,995.0,1373.0,4.777219146490097e-05
15,roi_restricted_checkerboard_corner_candidate,996.0,1325.0,4.753693428938277e-05
16,roi_restricted_checkerboard_corner_candidate,1061.0,1302.0,4.74365588161163e-05
17,roi_restricted_checkerboard_corner_candidate,1082.0,1420.0,4.7427187382709235e-05
18,roi_restricted_checkerboard_corner_candidate,1081.0,1562.0,4.716743569588289e-05
19,roi_restricted_checkerboard_corner_candidate,1017.0,1397.0,4.69969236291945e-05
20,roi_restricted_checkerboard_corner_candidate,995.0,1421.0,4.6923010813770816e-05
21,roi_restricted_checkerboard_corner_candidate,864.0,1277.0,4.690088826464489e-05
22,roi_restricted_checkerboard_corner_candidate,1017.0,1492.0,4.663235449697822e-05
23,roi_restricted_checkerboard_corner_candidate,930.0,1398.0,4.6604756789747626e-05
24,roi_restricted_checkerboard_corner_candidate,1060.0,1397.0,4.656025703297928e-05
25,roi_restricted_checkerboard_corner_candidate,1124.0,1514.0,4.650010305340402e-05
26,roi_restricted_checkerboard_corner_candidate,863.0,1374.0,4.632272248272784e-05
27,roi_restricted_checkerboard_corner_candidate,1016.0,1540.0,4.6239780203904957e-05
28,roi_restricted_checkerboard_corner_candidate,930.0,1301.0,4.618432285496965e-05
29,roi_restricted_checkerboard_corner_candidate,952.0,1373.0,4.595587233779952e-05
30,roi_restricted_checkerboard_corner_candidate,841.0,1350.0,4.583067857311107e-05
31,roi_restricted_checkerboard_corner_candidate,908.0,1326.0,4.574150079861283e-05
32,roi_restricted_checkerboard_corner_candidate,907.0,1470.0,4.554205224849284e-05
33,roi_restricted_checkerboard_corner_candidate,929.0,1494.0,4.551377423922531e-05
34,roi_restricted_checkerboard_corner_candidate,796.0,1398.0,4.550266021396965e-05
35,roi_restricted_checkerboard_corner_candidate,886.0,1350.0,4.54543114756234e-05
36,roi_restricted_checkerboard_corner_candidate,929.0,1446.0,4.536446795100346e-05
37,roi_restricted_checkerboard_corner_candidate,819.0,1325.0,4.526074917521328e-05
38,roi_restricted_checkerboard_corner_candidate,1061.0,1349.0,4.525340409600176e-05
39,roi_restricted_checkerboard_corner_candidate,995.0,1564.0,4.522062590694986e-05
40,roi_restricted_checkerboard_corner_candidate,863.0,1422.0,4.5171775127528235e-05
41,roi_restricted_checkerboard_corner_candidate,973.0,1397.0,4.5067212340654805e-05
42,roi_restricted_checkerboard_corner_candidate,818.0,1423.0,4.496798646869138e-05
43,roi_restricted_checkerboard_corner_candidate,1017.0,1349.0,4.495735265663825e-05
44,roi_restricted_checkerboard_corner_candidate,908.0,1374.0,4.493444430408999e-05
45,roi_restricted_checkerboard_corner_candidate,974.0,1302.0,4.485584213398397e-05
46,roi_restricted_checkerboard_corner_candidate,1102.0,1538.0,4.476717731449753e-05
47,roi_restricted_checkerboard_corner_candidate,952.0,1277.0,4.463128425413743e-05
48,roi_restricted_checkerboard_corner_candidate,886.0,1301.0,4.455183807294816e-05
49,roi_restricted_checkerboard_corner_candidate,1145.0,1443.0,4.4550040911417454e-05
50,roi_restricted_checkerboard_corner_candidate,1060.0,1492.0,4.454340523807332e-05
51,roi_restricted_checkerboard_corner_candidate,1104.0,1302.0,4.453578731045127e-05
52,roi_restricted_checkerboard_corner_candidate,973.0,1493.0,4.4474349124357104e-05
53,roi_restricted_checkerboard_corner_candidate,1124.0,1467.0,4.445792728802189e-05
54,roi_restricted_checkerboard_corner_candidate,951.0,1565.0,4.444049409357831e-05
55,roi_restricted_checkerboard_corner_candidate,885.0,1398.0,4.441709097591229e-05
