candidate_rank,dx_px,dy_px,median_abs_spearman,comparison_count
1,-12,-12,0.18896092632155226,96
1,-12,-10,0.1908561998360893,96
1,-12,-8,0.20692489845217343,96
1,-12,-6,0.19687988238355908,96
1,-12,-4,0.17594606091273893,96
1,-12,-2,0.17043787850917821,96
1,-12,0,0.16180540043604874,96
1,-12,2,0.14678131526093824,96
1,-12,4,0.15197802691383067,96
1,-12,6,0.1323657135945952,96
1,-12,8,0.13550433268296952,96
1,-12,10,0.1351632201050973,96
1,-12,12,0.14219002411532172,96
1,-10,-12,0.19690387097957923,96
1,-10,-10,0.1995270522704259,96
1,-10,-8,0.1867102029145999,96
1,-10,-6,0.17690041778065116,96
1,-10,-4,0.16362416123418327,96
1,-10,-2,0.16890909587143466,96
1,-10,0,0.14719146379084697,96
1,-10,2,0.1522537215158627,96
1,-10,4,0.14159909249562003,96
1,-10,6,0.13085014078739227,96
1,-10,8,0.1288878991812496,96
1,-10,10,0.1301948232790083,96
1,-10,12,0.15957235493804456,96
1,-8,-12,0.1934570399600444,96
1,-8,-10,0.1880554166552511,96
1,-8,-8,0.17606167916421106,96
1,-8,-6,0.18765892831901776,96
1,-8,-4,0.17084892608223687,96
1,-8,-2,0.16186194141045776,96
1,-8,0,0.1527836948093274,96
1,-8,2,0.14767293234692874,96
1,-8,4,0.14629355166086044,96
1,-8,6,0.1326979875150296,96
1,-8,8,0.15076851552822013,96
1,-8,10,0.1446440305280316,96
1,-8,12,0.14275486579276242,96
1,-6,-12,0.18858204717021743,96
1,-6,-10,0.18093402112970805,96
1,-6,-8,0.17693055969029214,96
1,-6,-6,0.16262568443300515,96
1,-6,-4,0.18041740082097973,96
1,-6,-2,0.16394222771929207,96
1,-6,0,0.1538985623119853,96
1,-6,2,0.15454940321545302,96
1,-6,4,0.15120086078383943,96
1,-6,6,0.14015068724909602,96
1,-6,8,0.13184853040513533,96
1,-6,10,0.1306993009918128,96
1,-6,12,0.12657260839256684,96
1,-4,-12,0.18378456575538185,96
1,-4,-10,0.15214062255860483,96
1,-4,-8,0.17454099416891974,96
1,-4,-6,0.1765792658275657,96
1,-4,-4,0.17857549207509463,96
1,-4,-2,0.16783673405173655,96
1,-4,0,0.17037332669341265,96
1,-4,2,0.15054196233656256,96
1,-4,4,0.14988219439143885,96
1,-4,6,0.13876694536917672,96
1,-4,8,0.13146423503611185,96
1,-4,10,0.13593307171433688,96
1,-4,12,0.13386878275741793,96
1,-2,-12,0.17994453596122528,96
1,-2,-10,0.15053803070099198,96
1,-2,-8,0.1673994104988501,96
1,-2,-6,0.15885790430102262,96
1,-2,-4,0.16066021117249524,96
1,-2,-2,0.15089431122038638,96
1,-2,0,0.17720079387885745,96
1,-2,2,0.15752988100900855,96
1,-2,4,0.15307104325599402,96
1,-2,6,0.14904548036191287,96
1,-2,8,0.12970853240746888,96
1,-2,10,0.13372397995164526,96
1,-2,12,0.1214550259472845,96
1,0,-12,0.1769966161670493,96
1,0,-10,0.15045654678393383,96
1,0,-8,0.17597093871957104,96
1,0,-6,0.15303147797398411,96
1,0,-4,0.16287452443327377,96
1,0,-2,0.14564434196111753,96
1,0,0,0.1539342747352308,96
1,0,2,0.14060001349948362,96
1,0,4,0.13892095177001657,96
