rank,loo_rmse_px,fit_rmse_px,orientation,screen_A_to_D_machine_parts,corner_index_order
1,7.028278322386677,5.2120586660101775,mirror_rotate_90,part01;part02;part03;part04,3;2;1;0
2,7.028278322386715,5.2120586660101615,mirror_rotate_270,part04;part03;part02;part01,1;0;3;2
3,35.93250586556506,28.300238216704514,rotate_180,part01;part02;part03;part04,2;3;0;1
4,35.93250586556512,28.300238216704468,rotate_0,part04;part03;part02;part01,0;1;2;3
5,68.93348039313693,56.261441878584755,rotate_90,part04;part03;part02;part01,1;2;3;0
6,68.93348039313695,56.261441878584755,rotate_270,part01;part02;part03;part04,3;0;1;2
7,103.29159488430126,71.89569054064816,mirror_rotate_0,part04;part03;part02;part01,0;3;2;1
8,103.29159488430133,71.8956905406482,mirror_rotate_180,part01;part02;part03;part04,2;1;0;3
9,118.2848429507564,88.12605880702564,mirror_rotate_180,part04;part03;part02;part01,2;1;0;3
10,118.28484295075657,88.12605880702559,mirror_rotate_0,part01;part02;part03;part04,0;3;2;1
11,131.29700216419968,87.7801456319172,rotate_180,part04;part03;part02;part01,2;3;0;1
12,131.29700216419982,87.78014563191722,rotate_0,part01;part02;part03;part04,0;1;2;3
13,160.54618795919828,97.37018996779113,mirror_rotate_90,part04;part03;part02;part01,3;2;1;0
14,160.5461879591985,97.37018996779108,mirror_rotate_270,part01;part02;part03;part04,1;0;3;2
15,195.27739767662024,155.61075726845215,mirror_rotate_270,part04;part02;part03;part01,1;0;3;2
16,195.27739767662032,155.6107572684521,mirror_rotate_90,part01;part03;part02;part04,3;2;1;0
17,199.90262450642635,109.30024953825382,rotate_90,part01;part02;part03;part04,1;2;3;0
18,199.9026245064265,109.3002495382539,rotate_270,part04;part03;part02;part01,3;0;1;2
19,216.3362290730344,155.75071517474092,rotate_180,part01;part03;part02;part04,2;3;0;1
20,216.3362290730346,155.75071517474092,rotate_0,part04;part02;part03;part01,0;1;2;3
21,277.29682607503423,145.7465851102169,mirror_rotate_270,part04;part03;part01;part02,1;0;3;2
22,277.2968260750347,145.74658511021707,mirror_rotate_90,part01;part02;part04;part03,3;2;1;0
23,285.37455413728094,234.3188363451552,rotate_180,part04;part02;part03;part01,2;3;0;1
24,285.37455413728105,234.31883634515506,rotate_0,part01;part03;part02;part04,0;1;2;3
25,292.978216635044,152.76147350720728,mirror_rotate_90,part02;part01;part03;part04,3;2;1;0
26,292.97821663504413,152.76147350720723,mirror_rotate_270,part03;part04;part02;part01,1;0;3;2
27,349.46355933249,274.4195585941011,rotate_90,part04;part02;part03;part01,1;2;3;0
28,349.46355933249026,274.4195585941017,rotate_270,part01;part03;part02;part04,3;0;1;2
29,364.1394784863169,145.44945150604053,rotate_180,part01;part02;part04;part03,2;3;0;1
30,364.1394784863212,145.44945150604073,rotate_0,part04;part03;part01;part02,0;1;2;3
31,371.2935441731555,226.07194070216173,mirror_rotate_270,part01;part03;part02;part04,1;0;3;2
32,371.2935441731557,226.07194070216204,mirror_rotate_90,part04;part02;part03;part01,3;2;1;0
33,375.1837443281744,78291.33134108844,rotate_0,part02;part01;part04;part03,0;1;2;3
34,375.18374432817734,78291.33134301782,rotate_180,part03;part04;part01;part02,2;3;0;1
35,387.4005882535357,151.97361313086864,rotate_180,part02;part01;part03;part04,2;3;0;1
36,387.40058825353776,151.97361313086844,rotate_0,part03;part04;part02;part01,0;1;2;3
37,431.4731978301619,359.07933671291926,mirror_rotate_270,part02;part01;part04;part03,1;0;3;2
38,431.47319783016263,359.07933671291767,mirror_rotate_90,part03;part04;part01;part02,3;2;1;0
39,466.00923581511194,1960.064427841644,rotate_90,part02;part01;part04;part03,1;2;3;0
40,466.00923581512376,1960.0644278400716,rotate_270,part03;part04;part01;part02,3;0;1;2
41,512.8255178052648,2193.094418971467,rotate_90,part03;part04;part01;part02,1;2;3;0
42,512.8255178052655,2193.09441897138,rotate_270,part02;part01;part04;part03,3;0;1;2
43,524.7195455387136,1116.2561735730874,mirror_rotate_90,part02;part04;part03;part01,3;2;1;0
44,524.7195455387148,1116.2561735730826,mirror_rotate_270,part03;part01;part02;part04,1;0;3;2
45,527.9480513732183,394.458849155874,mirror_rotate_0,part03;part04;part01;part02,0;3;2;1
46,527.9480513732209,394.4588491558669,mirror_rotate_180,part02;part01;part04;part03,2;1;0;3
47,528.6353152476727,1031.6607860295853,mirror_rotate_90,part04;part02;part01;part03,3;2;1;0
48,528.6353152476747,1031.6607860295821,mirror_rotate_270,part01;part03;part04;part02,1;0;3;2
49,549.1827471195732,203.26559740348637,mirror_rotate_180,part01;part02;part04;part03,2;1;0;3
50,549.1827471195778,203.26559740348642,mirror_rotate_0,part04;part03;part01;part02,0;3;2;1
51,622.8276591493961,517.3655281054234,rotate_0,part03;part01;part04;part02,0;1;2;3
52,622.8276591493966,517.3655281054232,rotate_180,part02;part04;part01;part03,2;3;0;1
53,623.5400739036995,525.2697092044606,mirror_rotate_270,part02;part04;part01;part03,1;0;3;2
54,623.5400739036996,525.2697092044605,mirror_rotate_90,part03;part01;part04;part02,3;2;1;0
55,631.8853106906038,211.04526732810345,mirror_rotate_0,part03;part04;part02;part01,0;3;2;1
56,631.8853106906039,211.04526732810336,mirror_rotate_180,part02;part01;part03;part04,2;1;0;3
57,642.6377509455352,1603.9121223951945,mirror_rotate_0,part02;part04;part03;part01,0;3;2;1
58,642.637750945537,1603.9121223952245,mirror_rotate_180,part03;part01;part02;part04,2;1;0;3
59,673.8331229362055,1133.7618010851058,mirror_rotate_180,part01;part03;part04;part02,2;1;0;3
60,673.8331229362087,1133.761801085147,mirror_rotate_0,part04;part02;part01;part03,0;3;2;1
61,707.8968774302915,415.9546807892732,mirror_rotate_270,part04;part01;part03;part02,1;0;3;2
62,707.8968774302983,415.95468078927297,mirror_rotate_90,part01;part04;part02;part03,3;2;1;0
63,714.9083793595418,1742.484265304212,mirror_rotate_0,part01;part04;part03;part02,0;3;2;1
64,714.9083793595487,1742.484265304272,mirror_rotate_180,part04;part01;part02;part03,2;1;0;3
65,765.8868166994476,1168.7941363050822,mirror_rotate_180,part02;part03;part04;part01,2;1;0;3
66,765.8868166994532,1168.794136305071,mirror_rotate_0,part03;part02;part01;part04,0;3;2;1
67,768.9007090672839,1978.9595706481268,rotate_0,part04;part01;part02;part03,0;1;2;3
68,768.900709067286,1978.9595706481202,rotate_180,part01;part04;part03;part02,2;3;0;1
69,788.4453543583583,426.4518291814701,rotate_180,part01;part04;part02;part03,2;3;0;1
70,788.4453543583614,426.4518291814689,rotate_0,part04;part01;part03;part02,0;1;2;3
71,815.7970804338779,2318.300746329595,rotate_180,part03;part02;part01;part04,2;3;0;1
72,815.7970804338784,2318.300746329613,rotate_0,part02;part03;part04;part01,0;1;2;3
73,819.4233462103995,2172.6849683140813,mirror_rotate_180,part02;part04;part03;part01,2;1;0;3
74,819.4233462104006,2172.684968313986,mirror_rotate_0,part03;part01;part02;part04,0;3;2;1
75,828.9434113711311,2291.0528606931703,mirror_rotate_180,part04;part02;part01;part03,2;1;0;3
76,828.9434113711354,2291.052860693194,mirror_rotate_0,part01;part03;part04;part02,0;3;2;1
77,870.7605246373839,445.5236457531427,rotate_180,part02;part03;part01;part04,2;3;0;1
78,870.7605246373839,445.52364575314107,rotate_0,part03;part02;part04;part01,0;1;2;3
79,882.5880585017106,421.2887838188119,mirror_rotate_270,part03;part02;part04;part01,1;0;3;2
80,882.5880585017127,421.2887838188121,mirror_rotate_90,part02;part03;part01;part04,3;2;1;0
81,887.0697405647231,808.7296410666161,rotate_90,part03;part01;part04;part02,1;2;3;0
82,887.0697405647394,808.7296410666156,rotate_270,part02;part04;part01;part03,3;0;1;2
83,903.7420539442037,1043.9470745497679,rotate_180,part03;part02;part04;part01,2;3;0;1
84,903.7420539442192,1043.9470745497424,rotate_0,part02;part03;part01;part04,0;1;2;3
85,920.8714144005991,6903.468943134345,mirror_rotate_90,part03;part01;part02;part04,3;2;1;0
86,920.8714144006015,6903.468943135385,mirror_rotate_270,part02;part04;part03;part01,1;0;3;2
87,923.0318369996087,1259.3043345939104,rotate_0,part01;part04;part02;part03,0;1;2;3
88,923.0318369996146,1259.3043345939484,rotate_180,part04;part01;part03;part02,2;3;0;1
89,972.587429772491,9768.44703687009,rotate_270,part01;part04;part02;part03,3;0;1;2
90,972.5874297725019,9768.447036868092,rotate_90,part04;part01;part03;part02,1;2;3;0
91,1000.238351566194,211.980576919917,mirror_rotate_0,part04;part02;part03;part01,0;3;2;1
92,1000.238351566203,211.9805769199174,mirror_rotate_180,part01;part03;part02;part04,2;1;0;3
93,1053.114668483353,3043.8640708078906,rotate_270,part02;part03;part01;part04,3;0;1;2
94,1053.1146684833705,3043.864070806846,rotate_90,part03;part02;part04;part01,1;2;3;0
95,1075.7289598750383,358.1940417253677,rotate_90,part04;part03;part01;part02,1;2;3;0
96,1075.7289598750385,358.19404172536724,rotate_270,part01;part02;part04;part03,3;0;1;2
97,1105.375133081163,7372.327208176006,rotate_90,part01;part04;part03;part02,1;2;3;0
98,1105.3751330811758,7372.327208176887,rotate_270,part04;part01;part02;part03,3;0;1;2
99,1123.7257378909542,6324.503243476905,rotate_90,part03;part01;part02;part04,1;2;3;0
100,1123.7257378909555,6324.503243477589,rotate_270,part02;part04;part03;part01,3;0;1;2
101,1138.005861805976,268.18485302473596,rotate_90,part01;part02;part04;part03,1;2;3;0
102,1138.0058618060116,268.18485302473727,rotate_270,part04;part03;part01;part02,3;0;1;2
103,1144.4455380607858,21497.446744188313,rotate_270,part02;part03;part04;part01,3;0;1;2
104,1144.4455380607908,21497.446744178647,rotate_90,part03;part02;part01;part04,1;2;3;0
105,1150.1942836330084,304.70028403885294,mirror_rotate_90,part02;part01;part04;part03,3;2;1;0
106,1150.194283633016,304.70028403885306,mirror_rotate_270,part03;part04;part01;part02,1;0;3;2
107,1154.4045681698608,1078.9661819498963,rotate_90,part02;part03;part01;part04,1;2;3;0
108,1154.4045681698678,1078.9661819499288,rotate_270,part03;part02;part04;part01,3;0;1;2
109,1180.1105796152876,516.865339789861,rotate_180,part03;part01;part04;part02,2;3;0;1
110,1180.1105796152995,516.8653397898611,rotate_0,part02;part04;part01;part03,0;1;2;3
111,1192.7119055450646,8229.751129368024,rotate_270,part04;part02;part01;part03,3;0;1;2
112,1192.711905545091,8229.75112936532,rotate_90,part01;part03;part04;part02,1;2;3;0
113,1192.7572913862869,8705.873190187736,mirror_rotate_0,part02;part03;part04;part01,0;3;2;1
114,1192.7572913862944,8705.873190187154,mirror_rotate_180,part03;part02;part01;part04,2;1;0;3
115,1203.223482143614,22458.25517965224,mirror_rotate_90,part01;part03;part04;part02,3;2;1;0
116,1203.223482143629,22458.255179645115,mirror_rotate_270,part04;part02;part01;part03,1;0;3;2
117,1257.002460476685,1200.838078664552,rotate_180,part03;part04;part02;part01,2;3;0;1
118,1257.00246047674,1200.8380786644943,rotate_0,part02;part01;part03;part04,0;1;2;3
119,1342.546266362085,1495.6763229880153,rotate_270,part04;part01;part03;part02,3;0;1;2
120,1342.5462663621213,1495.6763229879994,rotate_90,part01;part04;part02;part03,1;2;3;0
121,1489.8227075968932,576.4498641520042,rotate_0,part01;part04;part03;part02,0;1;2;3
122,1489.8227075969105,576.4498641520055,rotate_180,part04;part01;part02;part03,2;3;0;1
123,1497.426346816682,525.7709073377747,mirror_rotate_90,part02;part04;part01;part03,3;2;1;0
124,1497.4263468167192,525.770907337775,mirror_rotate_270,part03;part01;part04;part02,1;0;3;2
125,1545.506143394121,422.79270715205973,mirror_rotate_0,part01;part03;part02;part04,0;3;2;1
126,1545.5061433941291,422.7927071520614,mirror_rotate_180,part04;part02;part03;part01,2;1;0;3
127,1591.221211036567,746.8093094042732,mirror_rotate_0,part02;part01;part03;part04,0;3;2;1
128,1591.2212110367525,746.8093094042466,mirror_rotate_180,part03;part04;part02;part01,2;1;0;3
129,1715.0348843422867,7112.65023446011,mirror_rotate_180,part04;part01;part03;part02,2;1;0;3
130,1715.0348843423021,7112.650234460077,mirror_rotate_0,part01;part04;part02;part03,0;3;2;1
131,1739.4426328750205,1822.428796304172,rotate_0,part04;part02;part01;part03,0;1;2;3
132,1739.4426328751115,1822.428796304204,rotate_180,part01;part03;part04;part02,2;3;0;1
133,1749.3759310871017,450.2050772067016,mirror_rotate_90,part03;part02;part04;part01,3;2;1;0
134,1749.3759310871649,450.20507720670213,mirror_rotate_270,part02;part03;part01;part04,1;0;3;2
135,1798.2053379914294,1074.9952665271817,rotate_270,part03;part01;part02;part04,3;0;1;2
136,1798.2053379914669,1074.9952665271821,rotate_90,part02;part04;part03;part01,1;2;3;0
137,1812.1655723245992,1050.7177744583946,rotate_270,part03;part02;part01;part04,3;0;1;2
138,1812.1655723246083,1050.717774458381,rotate_90,part02;part03;part04;part01,1;2;3;0
139,1818.6151506365222,452.62360020177823,mirror_rotate_90,part04;part01;part03;part02,3;2;1;0
140,1818.6151506365431,452.6236002017788,mirror_rotate_270,part01;part04;part02;part03,1;0;3;2
141,1852.92952364527,1446.9138741591594,mirror_rotate_180,part03;part04;part01;part02,2;1;0;3
142,1852.9295236452763,1446.913874159148,mirror_rotate_0,part02;part01;part04;part03,0;3;2;1
143,1904.4773046516773,578.4874272827493,rotate_0,part03;part02;part01;part04,0;1;2;3
144,1904.4773046517223,578.487427282752,rotate_180,part02;part03;part04;part01,2;3;0;1
145,2201.8272212040833,726.1235171619376,rotate_0,part01;part03;part04;part02,0;1;2;3
146,2201.827221204108,726.1235171619386,rotate_180,part04;part02;part01;part03,2;3;0;1
147,2202.796141350776,1222.5486093928682,mirror_rotate_0,part03;part02;part04;part01,0;3;2;1
148,2202.7961413509183,1222.5486093928496,mirror_rotate_180,part02;part03;part01;part04,2;1;0;3
149,2302.9628113412937,270.3893852414583,rotate_90,part01;part03;part02;part04,1;2;3;0
150,2302.96281134136,270.38938524145817,rotate_270,part04;part02;part03;part01,3;0;1;2
151,2330.424646774443,267.96182530627993,rotate_90,part02;part01;part03;part04,1;2;3;0
152,2330.4246467746148,267.9618253062802,rotate_270,part03;part04;part02;part01,3;0;1;2
153,2548.248019481625,772.6129162535613,mirror_rotate_0,part03;part01;part04;part02,0;3;2;1
154,2548.248019481767,772.6129162535614,mirror_rotate_180,part02;part04;part01;part03,2;1;0;3
155,2597.080829896227,732.874520075914,rotate_0,part03;part01;part02;part04,0;1;2;3
156,2597.0808298963143,732.8745200759139,rotate_180,part02;part04;part03;part01,2;3;0;1
157,2637.8233050637696,1791.1163568891493,mirror_rotate_180,part01;part04;part02;part03,2;1;0;3
158,2637.823305063892,1791.1163568892491,mirror_rotate_0,part04;part01;part03;part02,0;3;2;1
159,2824.3513969949063,15010.280589962862,mirror_rotate_90,part01;part04;part03;part02,3;2;1;0
160,2824.3513969950045,15010.280589965992,mirror_rotate_270,part04;part01;part02;part03,1;0;3;2
161,2933.831559903156,276.19408217731063,mirror_rotate_270,part02;part01;part03;part04,1;0;3;2
162,2933.831559903261,276.194082177311,mirror_rotate_90,part03;part04;part02;part01,3;2;1;0
163,3294.30355805494,9417.006390739572,mirror_rotate_0,part02;part03;part01;part04,0;3;2;1
164,3294.3035580551477,9417.00639074277,mirror_rotate_180,part03;part02;part04;part01,2;1;0;3
165,3360.796625464593,319.9398538233992,rotate_90,part03;part04;part02;part01,1;2;3;0
166,3360.796625465165,319.9398538233983,rotate_270,part02;part01;part03;part04,3;0;1;2
167,4009.9368024605687,2373.6158238730586,rotate_0,part02;part04;part03;part01,0;1;2;3
168,4009.9368024613,2373.615823873084,rotate_180,part03;part01;part02;part04,2;3;0;1
169,4213.789203944795,1087.6284796652221,rotate_270,part01;part04;part03;part02,3;0;1;2
170,4213.7892039448025,1087.6284796652212,rotate_90,part04;part01;part02;part03,1;2;3;0
171,4491.715580253523,772.9295621253508,mirror_rotate_0,part02;part04;part01;part03,0;3;2;1
172,4491.715580254061,772.9295621253519,mirror_rotate_180,part03;part01;part04;part02,2;1;0;3
173,4582.727589923122,1090.9145237737598,rotate_90,part04;part02;part01;part03,1;2;3;0
174,4582.727589923729,1090.9145237737587,rotate_270,part01;part03;part04;part02,3;0;1;2
175,5045.4207255467345,2048.9940173148966,mirror_rotate_180,part01;part04;part03;part02,2;1;0;3
176,5045.420725547037,2048.9940173148566,mirror_rotate_0,part04;part01;part02;part03,0;3;2;1
177,5281.9063489615155,802.0601318395617,rotate_270,part03;part01;part04;part02,3;0;1;2
178,5281.906348961665,802.0601318395608,rotate_90,part02;part04;part01;part03,1;2;3;0
179,5857.35252029241,287.9675622794264,mirror_rotate_270,part01;part02;part04;part03,1;0;3;2
180,5857.35252029403,287.96756227942353,mirror_rotate_90,part04;part03;part01;part02,3;2;1;0
181,7766.069204432663,653.6133243459421,mirror_rotate_270,part03;part02;part01;part04,1;0;3;2
182,7766.069204433009,653.613324345939,mirror_rotate_90,part02;part03;part04;part01,3;2;1;0
183,16621.146577176703,278.5710116989232,rotate_180,part02;part01;part04;part03,2;3;0;1
184,16621.146577218187,278.57101169892326,rotate_0,part03;part04;part01;part02,0;1;2;3
185,44258.06277264083,3211.452679778837,rotate_180,part04;part03;part01;part02,2;3;0;1
186,44258.06277264527,3211.452679779093,rotate_0,part01;part02;part04;part03,0;1;2;3
187,47812.61437426656,1292.6104148734382,mirror_rotate_0,part01;part02;part04;part03,0;3;2;1
188,47812.614374648525,1292.6104148733546,mirror_rotate_180,part04;part03;part01;part02,2;1;0;3
189,66453.82370802846,905721.9092059922,mirror_rotate_90,part03;part02;part01;part04,3;2;1;0
190,66453.823708087,905721.9092174582,mirror_rotate_270,part02;part03;part04;part01,1;0;3;2
191,67501.10964833113,599.6368239456286,mirror_rotate_90,part04;part01;part02;part03,3;2;1;0
192,67501.10964836931,599.6368239456277,mirror_rotate_270,part01;part04;part03;part02,1;0;3;2
