candidate_rank,orientation,screen_A_to_D_machine_parts,part,layer_z,stage,led,filter,registered_column_1_based,sample_count,in_frame_fraction,valid_fraction,pearson_r,spearman_r,abs_spearman_r
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,A,1,original,20,126,1.0,0.019805092738132662,0.09464495041822579,0.06649986390488413,0.06649986390488413
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,A,1,mean3,21,126,1.0,0.019805092738132662,0.0547973298770656,-0.001997059699688777,0.001997059699688777
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,A,1,mean5,22,126,1.0,0.019805092738132662,0.029983476613605682,-0.04892913581517438,0.04892913581517438
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,A,2,original,23,2072,1.0,0.32568374724929267,-0.01608595058554937,-0.016704691529443233,0.016704691529443233
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,A,2,mean3,24,2072,1.0,0.32568374724929267,-0.00959409271869194,-0.007342956480153507,0.007342956480153507
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,A,2,mean5,25,2072,1.0,0.32568374724929267,-0.0029881502717182397,0.006881310083873356,0.006881310083873356
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,A,3,original,26,6362,1.0,1.0,0.034673763014454045,0.026372288964529565,0.026372288964529565
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,A,3,mean3,27,6362,1.0,1.0,0.040542148938002016,0.03288438312374998,0.03288438312374998
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,A,3,mean5,28,6362,1.0,1.0,0.045412268733244436,0.03819750677267749,0.03819750677267749
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,B,1,original,29,3659,1.0,0.5751336057843446,0.09584758131423783,0.05803775006001527,0.05803775006001527
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,B,1,mean3,30,3659,1.0,0.5751336057843446,0.09523256786072172,0.054487002228637345,0.054487002228637345
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,B,1,mean5,31,3659,1.0,0.5751336057843446,0.09409153735842143,0.04960583404036611,0.04960583404036611
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,B,2,original,32,6032,1.0,0.9481295190191764,0.2954543721732453,0.4228601006133237,0.4228601006133237
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,B,2,mean3,33,6032,1.0,0.9481295190191764,0.30048563562283415,0.4365172973519681,0.4365172973519681
