layer_z,candidate_count,rank_2_inside_count,rank_1_inside_count,both_ranks_inside_count,same_part_count,same_part_fraction
203,5,5,5,5,0,0.0
204,5,5,5,5,0,0.0
205,5,5,5,5,0,0.0
206,5,5,5,5,0,0.0
207,5,5,5,5,0,0.0
208,5,5,5,5,0,0.0
209,5,5,5,5,0,0.0
210,5,5,5,5,0,0.0
211,5,5,5,5,0,0.0
212,5,5,5,5,0,0.0
213,5,5,5,5,0,0.0
214,5,5,5,5,0,0.0
215,5,5,5,5,0,0.0
216,5,5,5,5,0,0.0
217,5,5,5,5,0,0.0
218,5,5,5,5,0,0.0
219,5,5,5,5,0,0.0
220,5,5,5,5,0,0.0
221,5,5,5,5,0,0.0
222,5,5,5,5,0,0.0
223,5,5,5,5,0,0.0
224,5,5,5,5,0,0.0
225,5,5,5,5,0,0.0
226,5,5,5,5,0,0.0
227,5,5,5,5,0,0.0
228,5,5,5,5,0,0.0
229,5,5,5,5,0,0.0
230,5,5,5,5,0,0.0
231,5,5,5,5,0,0.0
232,5,5,5,5,0,0.0
233,5,5,5,5,0,0.0
234,5,5,5,5,0,0.0
235,5,5,5,5,0,0.0
236,5,5,5,5,0,0.0
237,5,5,5,5,0,0.0
238,5,5,5,5,0,0.0
239,5,5,5,5,0,0.0
240,5,5,5,5,0,0.0
241,5,5,5,5,0,0.0
242,5,5,5,5,0,0.0
243,5,5,5,5,0,0.0
244,5,5,5,5,0,0.0
245,5,5,5,5,0,0.0
246,5,5,5,5,0,0.0
247,5,5,5,5,0,0.0
248,5,5,5,5,0,0.0
249,5,5,5,5,0,0.0
250,5,5,5,5,0,0.0
