x_model_pixel,y_model_pixel,repeat_count_across_layers
179,195,10
179,194,9
179,196,7
173,190,6
177,168,6
179,197,6
169,175,5
180,194,5
184,175,5
166,165,4
173,172,4
176,167,4
177,170,4
178,196,4
160,139,3
161,139,3
165,165,3
168,175,3
170,175,3
171,176,3
172,172,3
175,168,3
178,167,3
180,193,3
182,176,3
186,201,3
193,196,3
156,147,2
161,140,2
168,176,2
170,174,2
170,176,2
174,167,2
174,169,2
175,166,2
175,167,2
175,170,2
177,167,2
177,169,2
178,170,2
178,197,2
182,174,2
182,175,2
183,174,2
184,176,2
185,201,2
193,195,2
