stage,layer_z,led_t,roi_x0,roi_y0,roi_x1,roi_y1,roi_mean,roi_std,roi_full_scale_fraction,pair_mean_abs_difference
A,1,1,250,250,1750,1750,61704.50294177778,7899.729103189033,0.729184,4508.19677734375
B,1,1,250,250,1750,1750,59150.18139333333,12172.793173456179,0.6425182222222222,4508.19677734375
A,1,2,250,250,1750,1750,64542.26608533334,4613.876898490891,0.9242351111111111,2229.647216796875
B,1,2,250,250,1750,1750,62892.37132177778,7688.261604941634,0.8475568888888889,2229.647216796875
A,1,3,250,250,1750,1750,62764.40725777778,5736.826002432257,0.6859768888888889,7314.68603515625
B,1,3,250,250,1750,1750,58666.99151111111,12276.286753103985,0.6511337777777778,7314.68603515625
A,10,1,250,250,1750,1750,52950.18529688889,13619.405221195697,0.28389955555555557,6521.12548828125
B,10,1,250,250,1750,1750,51973.196976444444,16497.02238837868,0.4028951111111111,6521.12548828125
A,10,2,250,250,1750,1750,54195.24356977778,15993.691316565624,0.47905644444444445,5203.681640625
B,10,2,250,250,1750,1750,52601.69642844445,17530.30421421447,0.4806462222222222,5203.681640625
A,10,3,250,250,1750,1750,36386.66140533333,10789.598745435815,0.015128,8029.927734375
B,10,3,250,250,1750,1750,39671.47465733333,14171.11152829199,0.03799288888888889,8029.927734375
A,20,1,250,250,1750,1750,53840.118412888885,13061.153431048344,0.30489644444444447,5624.28857421875
B,20,1,250,250,1750,1750,54248.07426088889,15841.562435840013,0.45581422222222223,5624.28857421875
A,20,2,250,250,1750,1750,53679.58208177778,15911.997997384808,0.46481155555555553,4829.0263671875
B,20,2,250,250,1750,1750,53114.82587511111,17021.7556308837,0.4803728888888889,4829.0263671875
A,20,3,250,250,1750,1750,36275.400788,10871.047641704521,0.011792,7469.39208984375
B,20,3,250,250,1750,1750,41452.37289911111,13830.443001161333,0.03774311111111111,7469.39208984375
A,125,1,250,250,1750,1750,53548.42611111111,12249.571913831474,0.27670755555555554,5417.779296875
B,125,1,250,250,1750,1750,53975.78623422222,15178.056236572636,0.42264444444444443,5417.779296875
A,125,2,250,250,1750,1750,54738.27280577778,12958.836524680743,0.425,5260.47509765625
B,125,2,250,250,1750,1750,54256.206697333335,13832.897034060612,0.43032533333333334,5260.47509765625
A,125,3,250,250,1750,1750,36867.79517511111,9418.05078287404,0.000404,7210.1943359375
B,125,3,250,250,1750,1750,42371.55942222222,12112.322347067648,0.021827555555555555,7210.1943359375
A,230,1,250,250,1750,1750,53089.69659022222,12793.049510092103,0.27303244444444447,5729.673828125
B,230,1,250,250,1750,1750,53391.05293911111,15495.492836316891,0.4027271111111111,5729.673828125
A,230,2,250,250,1750,1750,52954.69261288889,14294.090456850849,0.3897986666666667,5870.93994140625
B,230,2,250,250,1750,1750,52133.39274444444,15177.901971885787,0.38083955555555554,5870.93994140625
A,230,3,250,250,1750,1750,36127.855837333336,9296.558583524898,0.0004333333333333333,6912.6611328125
B,230,3,250,250,1750,1750,41353.67179955556,12069.507826925745,0.019397333333333332,6912.6611328125
A,250,1,250,250,1750,1750,52931.401412444444,12859.045286338054,0.2696057777777778,5640.39599609375
B,250,1,250,250,1750,1750,53377.93534044444,15485.76827322422,0.39984444444444445,5640.39599609375
A,250,2,250,250,1750,1750,53017.38561733333,14166.38834022238,0.38836,5885.16943359375
B,250,2,250,250,1750,1750,52108.863928,15102.828443475053,0.37650222222222224,5885.16943359375
A,250,3,250,250,1750,1750,36172.90736088889,9207.966340088311,0.00039644444444444444,6882.23828125
B,250,3,250,250,1750,1750,41376.287364888885,11992.4069385329,0.01870311111111111,6882.23828125
