candidate_id,stage,layer_z,led_t,roi_x0,roi_y0,roi_x1,roi_y1,roi_area_pixels,roi_mean,roi_std,roi_p01,roi_p50,roi_p99,roi_full_scale_fraction,roi_valid_fraction,pair_mean_abs_difference
wide_250_250_1750_1750,A,1,1,250,250,1750,1750,2250000,61704.50294177778,7899.729103189033,32663.0,65535.0,65535.0,0.729184,0.27081599999999995,4508.19677734375
wide_250_250_1750_1750,B,1,1,250,250,1750,1750,2250000,59150.18139333333,12172.793173456179,5633.0,65535.0,65535.0,0.6425182222222222,0.3574817777777778,4508.19677734375
inner_350_350_1650_1650,A,1,1,350,350,1650,1650,1690000,63772.99981242604,5378.872760884934,38777.0,65535.0,65535.0,0.849903550295858,0.15009644970414204,2157.31396484375
inner_350_350_1650_1650,B,1,1,350,350,1650,1650,1690000,62827.72602721894,6451.933063108574,37721.0,65535.0,65535.0,0.7784343195266272,0.22156568047337277,2157.31396484375
inner_450_450_1550_1550,A,1,1,450,450,1550,1550,1210000,64732.840311570246,4028.7429382688147,39625.0,65535.0,65535.0,0.9299727272727273,0.07002727272727272,2221.523681640625
inner_450_450_1550_1550,B,1,1,450,450,1550,1550,1210000,63102.11639008264,6228.01571790578,37337.0,65535.0,65535.0,0.801107438016529,0.19889256198347105,2221.523681640625
upper_350_250_1650_1550,A,1,1,350,250,1650,1550,1690000,63707.132013609466,5593.220905564204,37337.0,65535.0,65535.0,0.8483502958579882,0.15164970414201184,2342.407470703125
upper_350_250_1650_1550,B,1,1,350,250,1650,1550,1690000,62310.27337928994,7159.577354718096,35080.0,65535.0,65535.0,0.7450573964497041,0.25494260355029585,2342.407470703125
lower_350_450_1650_1750,A,1,1,350,450,1650,1750,1690000,62943.017128994084,6428.691866111885,36232.0,65535.0,65535.0,0.7923443786982248,0.20765562130177517,2516.66455078125
lower_350_450_1650_1750,B,1,1,350,450,1650,1750,1690000,62502.372125443784,6827.2283791541195,36536.0,65535.0,65535.0,0.7533727810650888,0.24662721893491124,2516.66455078125
wide_250_250_1750_1750,A,1,2,250,250,1750,1750,2250000,64542.26608533334,4613.876898490891,35960.0,65535.0,65535.0,0.9242351111111111,0.07576488888888888,2229.647216796875
wide_250_250_1750_1750,B,1,2,250,250,1750,1750,2250000,62892.37132177778,7688.261604941634,29351.0,65535.0,65535.0,0.8475568888888889,0.15244311111111108,2229.647216796875
inner_350_350_1650_1650,A,1,2,350,350,1650,1650,1690000,64794.493612426035,4522.039188374499,34424.0,65535.0,65535.0,0.9641727810650887,0.035827218934911254,1701.279541015625
inner_350_350_1650_1650,B,1,2,350,350,1650,1650,1690000,63277.83687633136,7174.516532177668,31111.0,65535.0,65535.0,0.8827899408284023,0.11721005917159766,1701.279541015625
inner_450_450_1550_1550,A,1,2,450,450,1550,1550,1210000,65321.581411570245,2478.07085427426,65535.0,65535.0,65535.0,0.9910041322314049,0.008995867768595067,2149.5458984375
inner_450_450_1550_1550,B,1,2,450,450,1550,1550,1210000,63232.23881157025,6978.301070954621,33176.0,65535.0,65535.0,0.8727892561983471,0.12721074380165287,2149.5458984375
upper_350_250_1650_1550,A,1,2,350,250,1650,1550,1690000,64830.5008112426,4494.227293908856,34424.0,65535.0,65535.0,0.9718544378698225,0.028145562130177493,1654.5838623046875
upper_350_250_1650_1550,B,1,2,350,250,1650,1550,1690000,63294.065309467456,7169.471712562639,31111.0,65535.0,65535.0,0.8861455621301775,0.11385443786982252,1654.5838623046875
lower_350_450_1650_1750,A,1,2,350,450,1650,1750,1690000,64378.30844852071,4963.500800074836,34264.0,65535.0,65535.0,0.9128331360946745,0.08716686390532546,2082.297119140625
lower_350_450_1650_1750,B,1,2,350,450,1650,1750,1690000,63029.938393491124,7258.100552415845,31111.0,65535.0,65535.0,0.8440751479289941,0.15592485207100593,2082.297119140625
wide_250_250_1750_1750,A,1,3,250,250,1750,1750,2250000,62764.40725777778,5736.826002432257,35832.0,65535.0,65535.0,0.6859768888888889,0.31402311111111114,7314.68603515625
wide_250_250_1750_1750,B,1,3,250,250,1750,1750,2250000,58666.99151111111,12276.286753103985,23205.0,65535.0,65535.0,0.6511337777777778,0.3488662222222222,7314.68603515625
inner_350_350_1650_1650,A,1,3,350,350,1650,1650,1690000,63256.78561775148,5599.751702722893,33880.0,65535.0,65535.0,0.7182822485207101,0.2817177514792899,7883.84619140625
inner_350_350_1650_1650,B,1,3,350,350,1650,1650,1690000,57899.0561112426,12902.643207895762,23845.0,65535.0,65535.0,0.6526455621301775,0.34735443786982245,7883.84619140625
inner_450_450_1550_1550,A,1,3,450,450,1550,1550,1210000,63647.01491157025,5838.09467017527,32375.0,65535.0,65535.0,0.7690768595041322,0.23092314049586782,9903.017578125
inner_450_450_1550_1550,B,1,3,450,450,1550,1550,1210000,55188.87223636363,14240.444185288758,23173.0,65535.0,65535.0,0.5669107438016528,0.43308925619834715,9903.017578125
upper_350_250_1650_1550,A,1,3,350,250,1650,1550,1690000,62401.031156213015,6096.482210877649,33880.0,65535.0,65535.0,0.6431449704142012,0.35685502958579884,8567.654296875
