layer_z,split,sigma_model_px,finite_xct_point_count,projected_in_roi_point_count,unique_center_pixel_count,center_collision_fraction,weak_target_available,support_pixel_count,support_fraction,response_nonzero_pixel_count,response_nonzero_fraction,support_component_count_8_connected,largest_support_component_pixel_count,largest_support_component_fraction
4,train,2.0,0,0,0,,False,0,0.0,0,0.0,0,0,0.0
4,train,3.0,0,0,0,,False,0,0.0,0,0.0,0,0,0.0
128,train,2.0,15196,15196,883,0.9418926033166622,True,3439,0.0524749755859375,3437,0.0524444580078125,1,3439,1.0
128,train,3.0,15196,15196,883,0.9418926033166622,True,4480,0.068359375,4478,0.068328857421875,1,4480,1.0
157,train,2.0,16764,16764,945,0.9436292054402291,True,3482,0.053131103515625,3481,0.0531158447265625,1,3482,1.0
157,train,3.0,16764,16764,945,0.9436292054402291,True,4523,0.0690155029296875,4522,0.069000244140625,1,4523,1.0
161,validation,2.0,16900,16900,958,0.9433136094674556,True,3492,0.05328369140625,3490,0.053253173828125,1,3492,1.0
161,validation,3.0,16900,16900,958,0.9433136094674556,True,4533,0.0691680908203125,4531,0.0691375732421875,1,4533,1.0
180,validation,2.0,17920,17920,1018,0.9431919642857143,True,3526,0.053802490234375,3523,0.0537567138671875,1,3526,1.0
180,validation,3.0,17920,17920,1018,0.9431919642857143,True,4567,0.0696868896484375,4564,0.06964111328125,1,4567,1.0
199,validation,2.0,19840,19840,1097,0.9447076612903226,True,3556,0.05426025390625,3553,0.0542144775390625,1,3556,1.0
199,validation,3.0,19840,19840,1097,0.9447076612903226,True,4597,0.0701446533203125,4594,0.070098876953125,1,4597,1.0
203,test,2.0,20220,20220,1129,0.944164193867458,True,3569,0.0544586181640625,3566,0.054412841796875,1,3569,1.0
203,test,3.0,20220,20220,1129,0.944164193867458,True,4610,0.070343017578125,4607,0.0702972412109375,1,4610,1.0
227,test,2.0,24684,24684,1331,0.946078431372549,True,3598,0.054901123046875,3596,0.05487060546875,1,3598,1.0
227,test,3.0,24684,24684,1331,0.946078431372549,True,4639,0.0707855224609375,4637,0.0707550048828125,1,4639,1.0
250,test,2.0,25216,25216,1369,0.9457090736040609,True,3636,0.05548095703125,3634,0.055450439453125,1,3636,1.0
250,test,3.0,25216,25216,1369,0.9457090736040609,True,4677,0.0713653564453125,4675,0.0713348388671875,1,4677,1.0
