part,layer_z,csv_path,rows_total,rows_schema_40,rows_bad_schema,command_x_min_mm,command_x_max_mm,command_y_min_mm,command_y_max_mm,xct_original_finite_count,xct_3x3x3_finite_count,xct_5x5x5_finite_count,xct_original_finite_fraction,xct_3x3x3_finite_fraction,xct_5x5x5_finite_fraction,xct_5x5x5_mean,xct_5x5x5_min,xct_5x5x5_max
part01,1,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0001.csv,5921,5921,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,2,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0002.csv,5969,5969,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,3,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0003.csv,6052,6052,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,4,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0004.csv,6082,6082,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,5,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0005.csv,6173,6173,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,6,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0006.csv,6190,6190,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,7,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0007.csv,6299,6299,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,8,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0008.csv,6303,6303,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,9,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0009.csv,6362,6362,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,10,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0010.csv,6303,6303,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,11,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0011.csv,6362,6362,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,12,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0012.csv,6303,6303,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,13,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0013.csv,6362,6362,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,14,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0014.csv,6308,6308,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,15,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0015.csv,6367,6367,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,16,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0016.csv,6308,6308,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,17,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0017.csv,6362,6362,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,18,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0018.csv,6303,6303,0,-6.0,3.0,11.0,16.0,0,0,0,0.0,0.0,0.0,,,
part01,19,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0019.csv,6362,6362,0,-6.0,3.0,11.0,16.0,6362,6362,6362,1.0,1.0,1.0,0.457281189877397,0.20385,0.55378
part01,20,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0020.csv,6303,6303,0,-6.0,3.0,11.0,16.0,6303,6303,6303,1.0,1.0,1.0,0.49173703950499764,0.21311,0.56682
part01,21,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0021.csv,6362,6362,0,-6.0,3.0,11.0,16.0,6362,6362,6362,1.0,1.0,1.0,0.5167753410877083,0.22314,0.58399
part01,22,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0022.csv,6303,6303,0,-6.0,3.0,11.0,16.0,6303,6303,6303,1.0,1.0,1.0,0.5411909455814692,0.24762,0.58825
part01,23,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0023.csv,6362,6362,0,-6.0,3.0,11.0,16.0,6362,6362,6362,1.0,1.0,1.0,0.547633758252122,0.28118,0.5851
part01,24,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0024.csv,6303,6303,0,-6.0,3.0,11.0,16.0,6303,6303,6303,1.0,1.0,1.0,0.5517394510550532,0.30112,0.61225
part01,25,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0025.csv,6362,6362,0,-6.0,3.0,11.0,16.0,6362,6362,6362,1.0,1.0,1.0,0.5480157434768941,0.31603,0.62186
part01,26,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0026.csv,6308,6308,0,-6.0,3.0,11.0,16.0,6308,6308,6308,1.0,1.0,1.0,0.5480194578313253,0.32197,0.63131
part01,27,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0027.csv,6212,6212,0,-6.0,3.0,11.0,16.0,6212,6212,6212,1.0,1.0,1.0,0.5480111992916935,0.33162,0.63544
part01,28,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0028.csv,6043,6043,0,-6.0,3.0,11.0,16.0,6043,6043,6043,1.0,1.0,1.0,0.5505319212311766,0.34315,0.63521
part01,29,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0029.csv,6079,6079,0,-6.0,3.0,11.0,16.0,6079,6079,6079,1.0,1.0,1.0,0.548489407797335,0.35281,0.63586
part01,30,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0030.csv,5928,5928,0,-6.0,3.0,11.0,16.0,5928,5928,5928,1.0,1.0,1.0,0.5504605043859648,0.35875,0.63715
part01,31,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0031.csv,5950,5950,0,-6.0,3.0,11.0,16.0,5950,5950,5950,1.0,1.0,1.0,0.5492801579831933,0.35798,0.64
part01,32,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0032.csv,5818,5818,0,-6.0,3.0,11.0,16.0,5818,5818,5818,1.0,1.0,1.0,0.5504612891027845,0.35385,0.63652
part01,33,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0033.csv,5887,5887,0,-6.0,3.0,11.0,16.0,5887,5887,5887,1.0,1.0,1.0,0.5485447018855104,0.35147,0.63604
part01,34,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0034.csv,5744,5744,0,-6.0,3.0,11.0,16.0,5744,5744,5744,1.0,1.0,1.0,0.549592987465181,0.34457,0.63853
part01,35,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0035.csv,5759,5759,0,-6.0,3.0,11.0,16.0,5759,5759,5759,1.0,1.0,1.0,0.5487431047056781,0.34097,0.64053
part01,36,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0036.csv,5670,5670,0,-6.0,3.0,11.0,16.0,5670,5670,5670,1.0,1.0,1.0,0.5493620264550264,0.34362,0.6371
part01,37,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0037.csv,5695,5695,0,-6.0,3.0,11.0,16.0,5695,5695,5695,1.0,1.0,1.0,0.5482005215100966,0.34137,0.63889
part01,38,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0038.csv,5600,5600,0,-6.0,3.0,11.0,16.0,5600,5600,5600,1.0,1.0,1.0,0.5483021732142856,0.33827,0.63906
part01,39,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0039.csv,5635,5635,0,-6.0,3.0,11.0,16.0,5635,5635,5635,1.0,1.0,1.0,0.547947240461402,0.33745,0.64034
part01,40,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0040.csv,5562,5562,0,-6.0,3.0,11.0,16.0,5562,5562,5562,1.0,1.0,1.0,0.548236201006832,0.33837,0.64121
part01,41,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0041.csv,5632,5632,0,-6.0,3.0,11.0,16.0,5632,5632,5632,1.0,1.0,1.0,0.5473548739346591,0.34222,0.64153
